"Mike.Derrick","X396","DEM"
"Mike Derrick",43,"WOR"
"Elise M. Stefanik",572,"REP"
"Elise M. Stefanik",51,"CON"
"Elise M. Stefanik",21,"IND"
"Elise M. Stefanik",1,"REF"
"Matthew J. Funiciello",34,"GRE"
"Hillary Clinton and Tim Kaine",450,"DEM"
"Hillary Clinton and Tim Kaine",20,"WOR"
"Hillary Clinton and Tim Kaine",8,"WOM"
"Donald J. Trump and Michael R. Pence",525,"REP"
"Donald J. Trump and Michael R. Pence",40,"CON"
"Jill Stein and Ajamu Baraka",33,"GRE"
"Gary Johnson and Bill Weld",37,"IND"
"Gary Johnson and Bill Weld",10,"LIB"
"Elizabeth O'C Little",739,"REP"
"Elizabeth O'C Little",68,"CON"
"Elizabeth O'C Little",71,"IND"
"Stephen Matthew Ruzbacki",109,"GRE"
"Charles E. Schumer",509,"DEM"
"Charles E. Schumer",36,"WOR"
"Charles E. Schumer",34,"IND"
"Charles E. Schumer",6,"WOM"
"Wendy Long",407,"REP"
"Wendy Long",40,"CON"
"Wendy Long",3,"REF"
"Robin Laverne Wilson",32,"GRE"
"Alex Merced",4,"LIB"
"Daniel G Stec",648,"REP"
"Daniel G Stec",66,"CON"
"Daniel G Stec",54,"IND"
"Daniel G Stec",4,"REF"
"Robin M. Barkenhagen",146,"GRE"
