Mike Derrick,119,DEM
Mike Derrick,20,WOR
Elise M. Stefanik,179,REP
Elise M. Stefanik,14,CON
Elise M. Stefanik,7,IND
Elise M. Stefanik,1,REF
Matthew J. Funiciello,12,GRE
Hillary Clinton and Tim Kaine,146,DEM
Hillary Clinton and Tim Kaine,4,WOR
Hillary Clinton and Tim Kaine,3,WOM
Donald J. Trump and Michael R. Pence,149,REP
Donald J. Trump and Michael R. Pence,6,CON
Jill Stein and Ajamu Baraka,19,GRE
Gary Johnson and Bill Weld,17,IND
Gary Johnson and Bill Weld,6,LIB
Elizabeth O'C Little,233,REP
Elizabeth O'C Little,16,CON
Elizabeth O'C Little,26,IND
Stephen Matthew Ruzbacki,38,GRE
Charles E. Schumer,161,DEM
Charles E. Schumer,9,WOR
Charles E. Schumer,6,IND
Charles E. Schumer,1,WOM
Wendy Long,124,REP
Wendy Long,14,CON
Wendy Long,3,REF
Robin Laverne Wilson,16,GRE
Alex Merced,2,LIB
Daniel G Stec,207,REP
Daniel G Stec,19,CON
Daniel G Stec,14,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,48,GRE
