Mike Derrick,192,DEM
Mike Derrick,21,WOR
Elise M. Stefanik,489,REP
Elise M. Stefanik,31,CON
Elise M. Stefanik,21,IND
Elise M. Stefanik,5,REF
Matthew J. Funiciello,16,GRE
Hillary Clinton and Tim Kaine,258,DEM
Hillary Clinton and Tim Kaine,8,WOR
Hillary Clinton and Tim Kaine,6,WOM
Donald J. Trump and Michael R. Pence,440,REP
Donald J. Trump and Michael R. Pence,32,CON
Jill Stein and Ajamu Baraka,14,GRE
Gary Johnson and Bill Weld,21,IND
Gary Johnson and Bill Weld,11,LIB
Elizabeth O'C Little,562,REP
Elizabeth O'C Little,51,CON
Elizabeth O'C Little,43,IND
Stephen Matthew Ruzbacki,57,GRE
Charles E. Schumer,289,DEM
Charles E. Schumer,22,WOR
Charles E. Schumer,19,IND
Charles E. Schumer,10,WOM
Wendy Long,366,REP
Wendy Long,29,CON
Wendy Long,1,REF
Robin Laverne Wilson,10,GRE
Alex Merced,6,LIB
Daniel G Stec,521,REP
Daniel G Stec,42,CON
Daniel G Stec,31,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,61,GRE
