Mike Derrick,215,DEM
Mike Derrick,18,WOR
Elise M. Stefanik,278,REP
Elise M. Stefanik,16,CON
Elise M. Stefanik,8,IND
Elise M. Stefanik,2,REF
Matthew J. Funiciello,19,GRE
Hillary Clinton and Tim Kaine,249,DEM
Hillary Clinton and Tim Kaine,9,WOR
Hillary Clinton and Tim Kaine,4,WOM
Donald J. Trump and Michael R. Pence,255,REP
Donald J. Trump and Michael R. Pence,17,CON
Jill Stein and Ajamu Baraka,8,GRE
Gary Johnson and Bill Weld,16,IND
Gary Johnson and Bill Weld,5,LIB
Elizabeth O'C Little,360,REP
Elizabeth O'C Little,23,CON
Elizabeth O'C Little,51,IND
Stephen Matthew Ruzbacki,51,GRE
Charles E. Schumer,255,DEM
Charles E. Schumer,11,WOR
Charles E. Schumer,10,IND
Charles E. Schumer,3,WOM
Wendy Long,213,REP
Wendy Long,16,CON
Wendy Long,1,REF
Robin Laverne Wilson,10,GRE
Alex Merced,6,LIB
Daniel G Stec,329,REP
Daniel G Stec,26,CON
Daniel G Stec,39,IND
Daniel G Stec,3,REF
Robin M. Barkenhagen,64,GRE
