Mike Derrick,188,DEM
Mike Derrick,19,WOR
Elise M. Stefanik,122,REP
Elise M. Stefanik,6,CON
Elise M. Stefanik,5,IND
Elise M. Stefanik,1,REF
Matthew J. Funiciello,22,GRE
Hillary Clinton and Tim Kaine,213,DEM
Hillary Clinton and Tim Kaine,14,WOR
Hillary Clinton and Tim Kaine,5,WOM
Donald J. Trump and Michael R. Pence,100,REP
Donald J. Trump and Michael R. Pence,7,CON
Jill Stein and Ajamu Baraka,18,GRE
Gary Johnson and Bill Weld,6,IND
Gary Johnson and Bill Weld,5,LIB
Elizabeth O'C Little,190,REP
Elizabeth O'C Little,13,CON
Elizabeth O'C Little,29,IND
Stephen Matthew Ruzbacki,74,GRE
Charles E. Schumer,209,DEM
Charles E. Schumer,19,WOR
Charles E. Schumer,7,IND
Charles E. Schumer,4,WOM
Wendy Long,95,REP
Wendy Long,5,CON
Wendy Long,1,REF
Robin Laverne Wilson,17,GRE
Alex Merced,5,LIB
Daniel G Stec,183,REP
Daniel G Stec,7,CON
Daniel G Stec,25,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,80,GRE
