Mike Derrick,385,DEM
Mike Derrick,22,WOR
Elise M. Stefanik,366,REP
Elise M. Stefanik,35,CON
Elise M. Stefanik,22,IND
Elise M. Stefanik,2,REF
Matthew J. Funiciello,45,GRE
Hillary Clinton and Tim Kaine,428,DEM
Hillary Clinton and Tim Kaine,11,WOR
Hillary Clinton and Tim Kaine,7,WOM
Donald J. Trump and Michael R. Pence,336,REP
Donald J. Trump and Michael R. Pence,36,CON
Jill Stein and Ajamu Baraka,24,GRE
Gary Johnson and Bill Weld,41,IND
Gary Johnson and Bill Weld,12,LIB
Elizabeth O'C Little,529,REP
Elizabeth O'C Little,54,CON
Elizabeth O'C Little,68,IND
Stephen Matthew Ruzbacki,131,GRE
Charles E. Schumer,444,DEM
Charles E. Schumer,26,WOR
Charles E. Schumer,17,IND
Charles E. Schumer,11,WOM
Wendy Long,284,REP
Wendy Long,34,CON
Wendy Long,4,REF
Robin Laverne Wilson,32,GRE
Alex Merced,6,LIB
Daniel G Stec,466,REP
Daniel G Stec,47,CON
Daniel G Stec,59,IND
Daniel G Stec,6,REF
Robin M. Barkenhagen,163,GRE
