Mike Derrick,174,DEM
Mike Derrick,18,WOR
Elise M. Stefanik,68,REP
Elise M. Stefanik,4,CON
Elise M. Stefanik,5,IND
Elise M. Stefanik,0,REF
Matthew J. Funiciello,9,GRE
Hillary Clinton and Tim Kaine,175,DEM
Hillary Clinton and Tim Kaine,12,WOR
Hillary Clinton and Tim Kaine,5,WOM
Donald J. Trump and Michael R. Pence,55,REP
Donald J. Trump and Michael R. Pence,6,CON
Jill Stein and Ajamu Baraka,7,GRE
Gary Johnson and Bill Weld,11,IND
Gary Johnson and Bill Weld,4,LIB
Elizabeth O'C Little,128,REP
Elizabeth O'C Little,13,CON
Elizabeth O'C Little,34,IND
Stephen Matthew Ruzbacki,43,GRE
Charles E. Schumer,181,DEM
Charles E. Schumer,13,WOR
Charles E. Schumer,8,IND
Charles E. Schumer,5,WOM
Wendy Long,51,REP
Wendy Long,3,CON
Wendy Long,0,REF
Robin Laverne Wilson,8,GRE
Alex Merced,5,LIB
Daniel G Stec,109,REP
Daniel G Stec,10,CON
Daniel G Stec,23,IND
Daniel G Stec,0,REF
Robin M. Barkenhagen,68,GRE
