Mike Derrick,146,DEM
Mike Derrick,15,WOR
Elise M. Stefanik,311,REP
Elise M. Stefanik,31,CON
Elise M. Stefanik,15,IND
Elise M. Stefanik,2,REF
Matthew J. Funiciello,13,GRE
Hillary Clinton and Tim Kaine,181,DEM
Hillary Clinton and Tim Kaine,5,WOR
Hillary Clinton and Tim Kaine,3,WOM
Donald J. Trump and Michael R. Pence,284,REP
Donald J. Trump and Michael R. Pence,21,CON
Jill Stein and Ajamu Baraka,17,GRE
Gary Johnson and Bill Weld,25,IND
Gary Johnson and Bill Weld,5,LIB
Elizabeth O'C Little,370,REP
Elizabeth O'C Little,35,CON
Elizabeth O'C Little,40,IND
Stephen Matthew Ruzbacki,39,GRE
Charles E. Schumer,208,DEM
Charles E. Schumer,14,WOR
Charles E. Schumer,19,IND
Charles E. Schumer,1,WOM
Wendy Long,226,REP
Wendy Long,17,CON
Wendy Long,0,REF
Robin Laverne Wilson,16,GRE
Alex Merced,3,LIB
Daniel G Stec,339,REP
Daniel G Stec,36,CON
Daniel G Stec,40,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,45,GRE
