Mike Derrick,104,DEM
Mike Derrick,10,WOR
Elise M. Stefanik,201,REP
Elise M. Stefanik,23,CON
Elise M. Stefanik,9,IND
Elise M. Stefanik,0,REF
Matthew J. Funiciello,59,GRE
Hillary Clinton and Tim Kaine,147,DEM
Hillary Clinton and Tim Kaine,8,WOR
Hillary Clinton and Tim Kaine,2,WOM
Donald J. Trump and Michael R. Pence,208,REP
Donald J. Trump and Michael R. Pence,17,CON
Jill Stein and Ajamu Baraka,31,GRE
Gary Johnson and Bill Weld,11,IND
Gary Johnson and Bill Weld,9,LIB
Elizabeth O'C Little,241,REP
Elizabeth O'C Little,28,CON
Elizabeth O'C Little,29,IND
Stephen Matthew Ruzbacki,81,GRE
Charles E. Schumer,168,DEM
Charles E. Schumer,18,WOR
Charles E. Schumer,16,IND
Charles E. Schumer,3,WOM
Wendy Long,135,REP
Wendy Long,19,CON
Wendy Long,0,REF
Robin Laverne Wilson,28,GRE
Alex Merced,4,LIB
Daniel G Stec,223,REP
Daniel G Stec,28,CON
Daniel G Stec,21,IND
Daniel G Stec,0,REF
Robin M. Barkenhagen,77,GRE
