Mike Derrick,142,DEM
Mike Derrick,10,WOR
Elise M. Stefanik,189,REP
Elise M. Stefanik,12,CON
Elise M. Stefanik,9,IND
Elise M. Stefanik,3,REF
Matthew J. Funiciello,14,GRE
Hillary Clinton and Tim Kaine,157,DEM
Hillary Clinton and Tim Kaine,5,WOR
Hillary Clinton and Tim Kaine,1,WOM
Donald J. Trump and Michael R. Pence,199,REP
Donald J. Trump and Michael R. Pence,7,CON
Jill Stein and Ajamu Baraka,4,GRE
Gary Johnson and Bill Weld,12,IND
Gary Johnson and Bill Weld,4,LIB
Elizabeth O'C Little,257,REP
Elizabeth O'C Little,18,CON
Elizabeth O'C Little,32,IND
Stephen Matthew Ruzbacki,30,GRE
Charles E. Schumer,173,DEM
Charles E. Schumer,7,WOR
Charles E. Schumer,12,IND
Charles E. Schumer,5,WOM
Wendy Long,138,REP
Wendy Long,10,CON
Wendy Long,2,REF
Robin Laverne Wilson,4,GRE
Alex Merced,4,LIB
Daniel G Stec,230,REP
Daniel G Stec,15,CON
Daniel G Stec,22,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,37,GRE
