Mike Derrick,74,DEM
Mike Derrick,6,WOR
Elise M. Stefanik,146,REP
Elise M. Stefanik,19,CON
Elise M. Stefanik,12,IND
Elise M. Stefanik,1,REF
Matthew J. Funiciello,10,GRE
Hillary Clinton and Tim Kaine,92,DEM
Hillary Clinton and Tim Kaine,5,WOR
Hillary Clinton and Tim Kaine,2,WOM
Donald J. Trump and Michael R. Pence,133,REP
Donald J. Trump and Michael R. Pence,20,CON
Jill Stein and Ajamu Baraka,7,GRE
Gary Johnson and Bill Weld,11,IND
Gary Johnson and Bill Weld,2,LIB
Elizabeth O'C Little,171,REP
Elizabeth O'C Little,23,CON
Elizabeth O'C Little,15,IND
Stephen Matthew Ruzbacki,27,GRE
Charles E. Schumer,107,DEM
Charles E. Schumer,14,WOR
Charles E. Schumer,11,IND
Charles E. Schumer,1,WOM
Wendy Long,95,REP
Wendy Long,13,CON
Wendy Long,1,REF
Robin Laverne Wilson,6,GRE
Alex Merced,1,LIB
Daniel G Stec,164,REP
Daniel G Stec,21,CON
Daniel G Stec,14,IND
Daniel G Stec,1,REF
Robin M. Barkenhagen,23,GRE
