Mike Derrick,1486,DEM
Mike Derrick,118,WOR
Elise M. Stefanik,1265,REP
Elise M. Stefanik,132,CON
Elise M. Stefanik,84,IND
Elise M. Stefanik,7,REF
Matthew J. Funiciello,157,GRE
Hillary Clinton and Tim Kaine,1799,DEM
Hillary Clinton and Tim Kaine,73,WOR
Hillary Clinton and Tim Kaine,34,WOM
Donald J. Trump and Michael R. Pence,1028,REP
Donald J. Trump and Michael R. Pence,118,CON
Jill Stein and Ajamu Baraka,78,GRE
Gary Johnson and Bill Weld,106,IND
Gary Johnson and Bill Weld,45,LIB
Elizabeth O'C Little,1804,REP
Elizabeth O'C Little,217,CON
Elizabeth O'C Little,301,IND
Stephen Matthew Ruzbacki,399,GRE
Charles E. Schumer,1777,DEM
Charles E. Schumer,112,WOR
Charles E. Schumer,87,IND
Charles E. Schumer,37,WOM
Wendy Long,914,REP
Wendy Long,109,CON
Wendy Long,9,REF
Robin Laverne Wilson,100,GRE
Alex Merced,27,LIB
Daniel G Stec,1562,REP
Daniel G Stec,183,CON
Daniel G Stec,231,IND
Daniel G Stec,11,REF
Robin M. Barkenhagen,532,GRE
