Mike Derrick,30,DEM
Mike Derrick,5,WOR
Elise M. Stefanik,111,REP
Elise M. Stefanik,6,CON
Elise M. Stefanik,5,IND
Elise M. Stefanik,1,REF
Matthew J. Funiciello,5,GRE
Hillary Clinton and Tim Kaine,43,DEM
Hillary Clinton and Tim Kaine,1,WOR
Hillary Clinton and Tim Kaine,3,WOM
Donald J. Trump and Michael R. Pence,119,REP
Donald J. Trump and Michael R. Pence,3,CON
Jill Stein and Ajamu Baraka,2,GRE
Gary Johnson and Bill Weld,3,IND
Gary Johnson and Bill Weld,3,LIB
Elizabeth O'C Little,127,REP
Elizabeth O'C Little,12,CON
Elizabeth O'C Little,5,IND
Stephen Matthew Ruzbacki,8,GRE
Charles E. Schumer,46,DEM
Charles E. Schumer,5,WOR
Charles E. Schumer,2,IND
Charles E. Schumer,2,WOM
Wendy Long,91,REP
Wendy Long,5,CON
Wendy Long,1,REF
Robin Laverne Wilson,3,GRE
Alex Merced,4,LIB
Daniel G Stec,119,REP
Daniel G Stec,7,CON
Daniel G Stec,6,IND
Daniel G Stec,0,REF
Robin M. Barkenhagen,12,GRE
