Mike Derrick,122,DEM
Mike Derrick,12,WOR
Elise M. Stefanik,317,REP
Elise M. Stefanik,31,CON
Elise M. Stefanik,13,IND
Elise M. Stefanik,3,REF
Matthew J. Funiciello,29,GRE
Hillary Clinton and Tim Kaine,175,DEM
Hillary Clinton and Tim Kaine,9,WOR
Hillary Clinton and Tim Kaine,3,WOM
Donald J. Trump and Michael R. Pence,288,REP
Donald J. Trump and Michael R. Pence,31,CON
Jill Stein and Ajamu Baraka,14,GRE
Gary Johnson and Bill Weld,10,IND
Gary Johnson and Bill Weld,6,LIB
Elizabeth O'C Little,355,REP
Elizabeth O'C Little,33,CON
Elizabeth O'C Little,37,IND
Stephen Matthew Ruzbacki,43,GRE
Charles E. Schumer,180,DEM
Charles E. Schumer,11,WOR
Charles E. Schumer,11,IND
Charles E. Schumer,3,WOM
Wendy Long,263,REP
Wendy Long,32,CON
Wendy Long,3,REF
Robin Laverne Wilson,10,GRE
Alex Merced,6,LIB
Daniel G Stec,355,REP
Daniel G Stec,34,CON
Daniel G Stec,29,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,48,GRE
