Mike Derrick,259,DEM
Mike Derrick,28,WOR
Elise M. Stefanik,280,REP
Elise M. Stefanik,28,CON
Elise M. Stefanik,21,IND
Elise M. Stefanik,2,REF
Matthew J. Funiciello,24,GRE
Hillary Clinton and Tim Kaine,302,DEM
Hillary Clinton and Tim Kaine,15,WOR
Hillary Clinton and Tim Kaine,12,WOM
Donald J. Trump and Michael R. Pence,247,REP
Donald J. Trump and Michael R. Pence,25,CON
Jill Stein and Ajamu Baraka,21,GRE
Gary Johnson and Bill Weld,29,IND
Gary Johnson and Bill Weld,11,LIB
Elizabeth O'C Little,374,REP
Elizabeth O'C Little,49,CON
Elizabeth O'C Little,62,IND
Stephen Matthew Ruzbacki,87,GRE
Charles E. Schumer,311,DEM
Charles E. Schumer,28,WOR
Charles E. Schumer,19,IND
Charles E. Schumer,6,WOM
Wendy Long,214,REP
Wendy Long,28,CON
Wendy Long,2,REF
Robin Laverne Wilson,21,GRE
Alex Merced,5,LIB
Daniel G Stec,333,REP
Daniel G Stec,42,CON
Daniel G Stec,40,IND
Daniel G Stec,3,REF
Robin M. Barkenhagen,99,GRE
