Mike Derrick,74,DEM
Mike Derrick,8,WOR
Elise M. Stefanik,185,REP
Elise M. Stefanik,16,CON
Elise M. Stefanik,4,IND
Elise M. Stefanik,2,REF
Matthew J. Funiciello,14,GRE
Hillary Clinton and Tim Kaine,99,DEM
Hillary Clinton and Tim Kaine,2,WOR
Hillary Clinton and Tim Kaine,0,WOM
Donald J. Trump and Michael R. Pence,173,REP
Donald J. Trump and Michael R. Pence,17,CON
Jill Stein and Ajamu Baraka,7,GRE
Gary Johnson and Bill Weld,12,IND
Gary Johnson and Bill Weld,1,LIB
Elizabeth O'C Little,222,REP
Elizabeth O'C Little,22,CON
Elizabeth O'C Little,11,IND
Stephen Matthew Ruzbacki,30,GRE
Charles E. Schumer,111,DEM
Charles E. Schumer,8,WOR
Charles E. Schumer,11,IND
Charles E. Schumer,1,WOM
Wendy Long,134,REP
Wendy Long,9,CON
Wendy Long,0,REF
Robin Laverne Wilson,7,GRE
Alex Merced,6,LIB
Daniel G Stec,209,REP
Daniel G Stec,21,CON
Daniel G Stec,11,IND
Daniel G Stec,3,REF
Robin M. Barkenhagen,26,GRE
