Mike Derrick,216,DEM
Mike Derrick,24,WOR
Elise M. Stefanik,228,REP
Elise M. Stefanik,16,CON
Elise M. Stefanik,9,IND
Elise M. Stefanik,4,REF
Matthew J. Funiciello,20,GRE
Hillary Clinton and Tim Kaine,260,DEM
Hillary Clinton and Tim Kaine,9,WOR
Hillary Clinton and Tim Kaine,9,WOM
Donald J. Trump and Michael R. Pence,196,REP
Donald J. Trump and Michael R. Pence,10,CON
Jill Stein and Ajamu Baraka,20,GRE
Gary Johnson and Bill Weld,18,IND
Gary Johnson and Bill Weld,10,LIB
Elizabeth O'C Little,324,REP
Elizabeth O'C Little,26,CON
Elizabeth O'C Little,47,IND
Stephen Matthew Ruzbacki,58,GRE
Charles E. Schumer,249,DEM
Charles E. Schumer,22,WOR
Charles E. Schumer,4,IND
Charles E. Schumer,10,WOM
Wendy Long,183,REP
Wendy Long,11,CON
Wendy Long,2,REF
Robin Laverne Wilson,16,GRE
Alex Merced,3,LIB
Daniel G Stec,295,REP
Daniel G Stec,21,CON
Daniel G Stec,37,IND
Daniel G Stec,2,REF
Robin M. Barkenhagen,79,GRE
