Mike Derrick,330,DEM
Mike Derrick,32,WOR
Elise M. Stefanik,442,REP
Elise M. Stefanik,36,CON
Elise M. Stefanik,29,IND
Elise M. Stefanik,1,REF
Matthew J. Funiciello,25,GRE
Hillary Clinton and Tim Kaine,397,DEM
Hillary Clinton and Tim Kaine,19,WOR
Hillary Clinton and Tim Kaine,4,WOM
Donald J. Trump and Michael R. Pence,383,REP
Donald J. Trump and Michael R. Pence,41,CON
Jill Stein and Ajamu Baraka,14,GRE
Gary Johnson and Bill Weld,29,IND
Gary Johnson and Bill Weld,11,LIB
Elizabeth O'C Little,594,REP
Elizabeth O'C Little,50,CON
Elizabeth O'C Little,70,IND
Stephen Matthew Ruzbacki,67,GRE
Charles E. Schumer,424,DEM
Charles E. Schumer,30,WOR
Charles E. Schumer,31,IND
Charles E. Schumer,3,WOM
Wendy Long,286,REP
Wendy Long,27,CON
Wendy Long,2,REF
Robin Laverne Wilson,6,GRE
Alex Merced,9,LIB
Daniel G Stec,549,REP
Daniel G Stec,45,CON
Daniel G Stec,61,IND
Daniel G Stec,3,REF
Robin M. Barkenhagen,73,GRE
