,DEM Clinton,WOR Clinton,WEP Clinton,REP Trump,CON Trump,GRE Stein,IND Johnson,LIB Johnson,x1 WriteIns,x2 Voids,x3 Blanks
Gloversville Ward 1 Dist 1,131,3,10,162,17,12,0,5,2,0,6
Gloversville Ward 1 Dist 2,155,3,2,183,16,8,15,3,4,0,3
Gloversville Ward 2 Dist 1,85,2,2,141,13,6,6,3,1,0,4
Gloversville Ward 2 Dist 2,76,4,1,166,19,6,7,1,2,1,3
Gloversville Ward 3 Dist 1,185,6,3,246,23,6,9,7,2,2,4
Gloversville Ward 3 Dist 2,162,2,5,208,16,3,16,7,1,0,1
Gloversville Ward 4 Dist 1,133,4,2,150,6,6,6,3,0,0,6
Gloversville Ward 4 Dist 2,120,3,2,165,10,5,9,5,3,0,3
Gloversville Ward 5 Dist 1,182,9,2,218,15,8,17,10,7,0,6
Gloversville Ward 5 Dist 2,164,5,3,212,21,10,15,9,5,0,5
Gloversville Ward 6 Dist 1,123,4,5,145,13,8,13,5,1,0,1
Gloversville Ward 6 Dist 2,121,5,1,189,27,8,19,9,6,0,4
Johnstown Ward 1 Dist 1,142,5,2,206,19,4,8,4,2,0,5
Johnstown Ward 1 Dist 2,144,3,4,273,18,6,7,4,2,0,6
Johnstown Ward 2 Dist 1,127,2,1,220,20,5,8,8,3,0,4
Johnstown Ward 2 Dist 2,111,6,0,258,14,12,13,3,5,0,9
Johnstown Ward 3 Dist 1,133,2,1,206,21,15,14,5,11,0,3
Johnstown Ward 3 Dist 2,136,8,4,186,20,7,16,7,7,1,5
Johnstown Ward 4 Dist 1,209,3,3,205,22,6,20,4,5,0,6
Johnstown Ward 4 Dist 2,106,2,1,210,19,5,9,5,2,0,10
Bleecker,98,0,1,190,12,3,10,6,1,0,4
Broadalbin 1,178,6,2,326,26,13,12,11,6,0,7
Broadalbin 2,179,7,4,455,59,5,13,9,6,0,14
Broadalbin 3,111,5,2,307,27,6,14,4,5,0,4
Broadalbin 4,141,7,3,332,29,6,10,4,5,0,6
Caroga,169,11,3,435,32,8,11,11,7,2,10
Ephratah,117,4,3,462,49,8,20,7,2,0,8
Johnstown 1,198,3,4,384,38,13,13,8,7,0,3
Johnstown 2,247,5,1,487,32,7,26,9,10,0,8
Johnstown 3,194,3,2,505,18,15,26,10,5,0,5
Johnstown 4,167,4,0,366,42,4,20,8,4,1,7
Mayfield 1,121,2,1,352,25,7,20,4,7,0,7
Mayfield 2,151,3,2,425,29,4,11,7,4,0,4
Mayfield 3,192,3,3,470,38,5,9,6,3,0,2
Mayfield 4,207,6,5,484,44,8,18,13,3,1,5
Northampton 1,174,4,3,435,54,9,14,3,2,0,13
Northampton 2,15,1,0,32,7,1,0,0,0,1,0
Northampton 3,178,6,0,273,26,15,12,5,4,0,4
Oppenheim 1,140,4,3,489,52,5,12,3,4,0,10
Perth 1,205,5,4,484,54,10,16,5,3,2,8
Perth 2,232,3,2,502,70,8,16,4,6,1,12
Stratford 1,56,4,2,187,19,5,2,3,1,0,3
