,DEM Derrick,WOR Derrick,REP Stefanik,CON Stefanik,IND Stefanik,REF Stefanik,GRE Funiciello,x1 WriteIns,x2 Voids,x3 Blanks
Bleecker,80,1,183,18,5,1,10,0,0,27
Broadalbin 1,126,7,360,36,12,1,10,0,0,35
Broadalbin 2,130,11,456,61,16,5,19,1,0,52
Broadalbin 3,81,10,305,25,11,2,16,0,0,35
Broadalbin 4,91,8,350,35,7,2,10,0,0,40
Caroga,110,24,432,43,13,1,16,0,2,58
Ephratah,78,17,433,45,20,2,8,0,0,77
Johnstown 1,120,4,426,46,16,2,17,0,0,40
Johnstown 2,142,11,542,36,22,1,17,0,0,61
Johnstown 3,113,3,532,34,19,1,18,0,0,63
Johnstown 4,90,11,405,44,7,2,13,0,1,50
Mayfield 1,81,6,366,32,13,0,8,0,0,40
Mayfield 2,94,5,452,30,8,2,7,0,0,42
Mayfield 3,135,9,476,49,10,2,11,0,0,39
Mayfield 4,144,15,507,45,17,0,18,0,1,47
Northampton 1,106,12,465,60,10,4,17,0,0,37
Northampton 2,10,0,38,8,0,0,0,0,1,0
Northampton 3,125,9,279,35,14,1,17,1,0,42
Oppenheim 1,108,51,456,53,14,1,10,0,0,29
Perth 1,163,8,473,51,17,1,11,0,1,71
Perth 2,174,12,508,71,25,2,9,0,1,54
Stratford 1,29,4,185,22,6,0,10,1,0,25
Gloversville Ward 1 Dist 1,103,13,151,22,7,1,15,0,0,36
Gloversville Ward 1 Dist 2,92,0,209,24,15,3,10,0,0,39
Gloversville Ward 2 Dist 1,65,5,143,13,7,1,9,0,0,20
Gloversville Ward 2 Dist 2,63,7,148,15,13,1,4,0,1,34
Gloversville Ward 3 Dist 1,112,10,291,24,12,1,11,0,2,30
Gloversville Ward 3 Dist 2,108,4,235,16,12,1,14,0,0,31
Gloversville Ward 4 Dist 1,79,9,141,12,11,1,8,0,0,55
Gloversville Ward 4 Dist 2,80,3,181,15,7,0,10,0,0,29
Gloversville Ward 5 Dist 1,133,11,234,27,15,0,11,0,0,43
Gloversville Ward 5 Dist 2,110,6,251,25,15,1,12,0,0,29
Gloversville Ward 6 Dist 1,82,5,150,16,12,1,15,0,0,37
Gloversville Ward 6 Dist 2,92,10,212,22,10,3,7,0,0,33
Johnstown Ward 1 Dist 1,84,3,216,21,5,2,15,0,0,51
Johnstown Ward 1 Dist 2,94,8,273,25,15,1,10,0,0,41
Johnstown Ward 2 Dist 1,77,8,227,19,7,2,12,0,0,46
Johnstown Ward 2 Dist 2,75,9,275,19,12,0,12,0,0,29
Johnstown Ward 3 Dist 1,81,5,236,21,15,1,14,0,0,38
Johnstown Ward 3 Dist 2,100,4,221,20,9,2,8,0,1,32
Johnstown Ward 4 Dist 1,139,8,258,25,11,3,12,0,0,27
Johnstown Ward 4 Dist 2,63,4,225,19,7,0,7,0,0,44
