,DEM Schumer,WOR Schumer,IND Schumer,WEP Schumer,REP Long,CON Long,REF Long,GRE Wilson,LIB Merced,x1 WriteIns,x2 Voids,x3 Blanks
Gloversville Ward 1 Dist 1,166,21,8,3,101,12,1,8,2,0,0,26
Gloversville Ward 1 Dist 2,195,11,10,3,118,16,1,7,4,0,0,27
Gloversville Ward 2 Dist 1,128,7,9,3,79,11,0,5,3,0,0,18
Gloversville Ward 2 Dist 2,104,18,12,2,97,10,3,5,3,0,1,31
Gloversville Ward 3 Dist 1,249,17,6,3,165,18,0,6,3,0,2,24
Gloversville Ward 3 Dist 2,206,8,14,2,140,12,0,4,4,0,0,31
Gloversville Ward 4 Dist 1,158,14,11,5,83,4,0,3,4,0,0,34
Gloversville Ward 4 Dist 2,149,22,7,5,98,9,1,5,4,0,0,25
Gloversville Ward 5 Dist 1,248,14,18,2,129,15,0,10,6,0,1,31
Gloversville Ward 5 Dist 2,231,18,17,2,131,15,1,6,4,0,0,24
Gloversville Ward 6 Dist 1,150,11,9,7,93,12,2,6,5,0,0,23
Gloversville Ward 6 Dist 2,176,13,15,1,130,19,2,6,6,0,0,21
Johnstown Ward 1 Dist 1,185,13,6,2,135,8,0,6,2,0,1,39
Johnstown Ward 1 Dist 2,198,9,12,2,186,20,0,2,4,0,0,34
Johnstown Ward 2 Dist 1,186,23,10,2,116,17,0,7,4,0,0,33
Johnstown Ward 2 Dist 2,181,32,8,3,161,8,0,6,3,0,0,29
Johnstown Ward 3 Dist 1,179,13,16,3,138,16,2,11,4,0,0,29
Johnstown Ward 3 Dist 2,183,10,12,4,138,15,1,2,3,0,1,28
Johnstown Ward 4 Dist 1,251,9,12,6,149,17,2,2,4,0,0,31
Johnstown Ward 4 Dist 2,145,10,9,3,151,12,0,4,5,0,0,30
Bleecker,121,12,7,4,138,15,0,2,2,0,0,24
Broadalbin 1,259,16,13,1,237,26,0,4,7,0,0,24
Broadalbin 2,274,21,18,7,326,55,2,8,5,0,0,35
Broadalbin 3,170,18,9,3,220,25,3,3,6,0,0,28
Broadalbin 4,207,22,12,2,246,22,0,3,1,0,0,28
Caroga,255,27,16,6,286,23,1,9,9,0,2,65
Ephratah,214,26,16,9,297,37,2,9,5,0,0,65
Johnstown 1,286,13,17,4,265,31,3,5,7,1,0,39
Johnstown 2,356,33,27,2,310,26,1,9,10,0,0,58
Johnstown 3,302,28,23,3,324,23,0,10,5,0,0,65
Johnstown 4,235,16,17,1,265,35,2,2,4,0,1,45
Mayfield 1,196,15,12,2,241,26,2,8,2,0,0,42
Mayfield 2,241,18,17,1,291,24,1,6,2,0,0,39
Mayfield 3,285,12,13,4,321,42,3,3,6,0,0,42
Mayfield 4,287,33,27,6,352,42,0,3,5,0,1,38
Northampton 1,255,20,15,2,318,51,1,3,4,0,0,42
Northampton 2,19,1,0,0,3,27,5,0,0,0,1,1
Northampton 3,205,11,10,4,218,24,0,6,5,1,0,39
Oppenheim 1,240,31,19,7,318,38,4,6,1,0,0,58
Perth 1,300,21,20,8,335,53,0,5,4,0,2,48
Perth 2,349,23,19,4,351,54,1,4,6,0,1,44
Stratford 1,87,16,6,3,129,16,0,4,3,0,0,18
