"county","precinct","office","district","party","candidate","votes"
"Fulton","Gloversville Ward 1 Dist 1","President",NA,"DEM","Hillary Clinton",131
"Fulton","Gloversville Ward 1 Dist 2","President",NA,"DEM","Hillary Clinton",155
"Fulton","Gloversville Ward 2 Dist 1","President",NA,"DEM","Hillary Clinton",85
"Fulton","Gloversville Ward 2 Dist 2","President",NA,"DEM","Hillary Clinton",76
"Fulton","Gloversville Ward 3 Dist 1","President",NA,"DEM","Hillary Clinton",185
"Fulton","Gloversville Ward 3 Dist 2","President",NA,"DEM","Hillary Clinton",162
"Fulton","Gloversville Ward 4 Dist 1","President",NA,"DEM","Hillary Clinton",133
"Fulton","Gloversville Ward 4 Dist 2","President",NA,"DEM","Hillary Clinton",120
"Fulton","Gloversville Ward 5 Dist 1","President",NA,"DEM","Hillary Clinton",182
"Fulton","Gloversville Ward 5 Dist 2","President",NA,"DEM","Hillary Clinton",164
"Fulton","Gloversville Ward 6 Dist 1","President",NA,"DEM","Hillary Clinton",123
"Fulton","Gloversville Ward 6 Dist 2","President",NA,"DEM","Hillary Clinton",121
"Fulton","Johnstown Ward 1 Dist 1","President",NA,"DEM","Hillary Clinton",142
"Fulton","Johnstown Ward 1 Dist 2","President",NA,"DEM","Hillary Clinton",144
"Fulton","Johnstown Ward 2 Dist 1","President",NA,"DEM","Hillary Clinton",127
"Fulton","Johnstown Ward 2 Dist 2","President",NA,"DEM","Hillary Clinton",111
"Fulton","Johnstown Ward 3 Dist 1","President",NA,"DEM","Hillary Clinton",133
"Fulton","Johnstown Ward 3 Dist 2","President",NA,"DEM","Hillary Clinton",136
"Fulton","Johnstown Ward 4 Dist 1","President",NA,"DEM","Hillary Clinton",209
"Fulton","Johnstown Ward 4 Dist 2","President",NA,"DEM","Hillary Clinton",106
"Fulton","Bleecker","President",NA,"DEM","Hillary Clinton",98
"Fulton","Broadalbin 1","President",NA,"DEM","Hillary Clinton",178
"Fulton","Broadalbin 2","President",NA,"DEM","Hillary Clinton",179
"Fulton","Broadalbin 3","President",NA,"DEM","Hillary Clinton",111
"Fulton","Broadalbin 4","President",NA,"DEM","Hillary Clinton",141
"Fulton","Caroga","President",NA,"DEM","Hillary Clinton",169
"Fulton","Ephratah","President",NA,"DEM","Hillary Clinton",117
"Fulton","Johnstown 1","President",NA,"DEM","Hillary Clinton",198
"Fulton","Johnstown 2","President",NA,"DEM","Hillary Clinton",247
"Fulton","Johnstown 3","President",NA,"DEM","Hillary Clinton",194
"Fulton","Johnstown 4","President",NA,"DEM","Hillary Clinton",167
"Fulton","Mayfield 1","President",NA,"DEM","Hillary Clinton",121
"Fulton","Mayfield 2","President",NA,"DEM","Hillary Clinton",151
"Fulton","Mayfield 3","President",NA,"DEM","Hillary Clinton",192
"Fulton","Mayfield 4","President",NA,"DEM","Hillary Clinton",207
"Fulton","Northampton 1","President",NA,"DEM","Hillary Clinton",174
"Fulton","Northampton 2","President",NA,"DEM","Hillary Clinton",15
"Fulton","Northampton 3","President",NA,"DEM","Hillary Clinton",178
"Fulton","Oppenheim 1","President",NA,"DEM","Hillary Clinton",140
"Fulton","Perth 1","President",NA,"DEM","Hillary Clinton",205
"Fulton","Perth 2","President",NA,"DEM","Hillary Clinton",232
"Fulton","Stratford 1","President",NA,"DEM","Hillary Clinton",56
"Fulton","Gloversville Ward 1 Dist 1","President",NA,"WOR","Hillary Clinton",3
"Fulton","Gloversville Ward 1 Dist 2","President",NA,"WOR","Hillary Clinton",3
"Fulton","Gloversville Ward 2 Dist 1","President",NA,"WOR","Hillary Clinton",2
"Fulton","Gloversville Ward 2 Dist 2","President",NA,"WOR","Hillary Clinton",4
"Fulton","Gloversville Ward 3 Dist 1","President",NA,"WOR","Hillary Clinton",6
"Fulton","Gloversville Ward 3 Dist 2","President",NA,"WOR","Hillary Clinton",2
"Fulton","Gloversville Ward 4 Dist 1","President",NA,"WOR","Hillary Clinton",4
"Fulton","Gloversville Ward 4 Dist 2","President",NA,"WOR","Hillary Clinton",3
"Fulton","Gloversville Ward 5 Dist 1","President",NA,"WOR","Hillary Clinton",9
"Fulton","Gloversville Ward 5 Dist 2","President",NA,"WOR","Hillary Clinton",5
"Fulton","Gloversville Ward 6 Dist 1","President",NA,"WOR","Hillary Clinton",4
"Fulton","Gloversville Ward 6 Dist 2","President",NA,"WOR","Hillary Clinton",5
"Fulton","Johnstown Ward 1 Dist 1","President",NA,"WOR","Hillary Clinton",5
"Fulton","Johnstown Ward 1 Dist 2","President",NA,"WOR","Hillary Clinton",3
"Fulton","Johnstown Ward 2 Dist 1","President",NA,"WOR","Hillary Clinton",2
"Fulton","Johnstown Ward 2 Dist 2","President",NA,"WOR","Hillary Clinton",6
"Fulton","Johnstown Ward 3 Dist 1","President",NA,"WOR","Hillary Clinton",2
"Fulton","Johnstown Ward 3 Dist 2","President",NA,"WOR","Hillary Clinton",8
"Fulton","Johnstown Ward 4 Dist 1","President",NA,"WOR","Hillary Clinton",3
"Fulton","Johnstown Ward 4 Dist 2","President",NA,"WOR","Hillary Clinton",2
