"county","precinct","office","district","party","candidate","votes"
"Fulton","Bleecker","NY State Assembly","118th Assembly","REP","Marc Butler",208
"Fulton","Broadalbin 1","NY State Assembly","118th Assembly","REP","Marc Butler",400
"Fulton","Broadalbin 2","NY State Assembly","118th Assembly","REP","Marc Butler",499
"Fulton","Broadalbin 3","NY State Assembly","118th Assembly","REP","Marc Butler",317
"Fulton","Broadalbin 4","NY State Assembly","118th Assembly","REP","Marc Butler",364
"Fulton","Caroga","NY State Assembly","118th Assembly","REP","Marc Butler",486
"Fulton","Ephratah","NY State Assembly","118th Assembly","REP","Marc Butler",464
"Fulton","Johnstown 1","NY State Assembly","118th Assembly","REP","Marc Butler",456
"Fulton","Johnstown 2","NY State Assembly","118th Assembly","REP","Marc Butler",575
"Fulton","Johnstown 3","NY State Assembly","118th Assembly","REP","Marc Butler",573
"Fulton","Johnstown 4","NY State Assembly","118th Assembly","REP","Marc Butler",437
"Fulton","Mayfield 1","NY State Assembly","118th Assembly","REP","Marc Butler",377
"Fulton","Mayfield 2","NY State Assembly","118th Assembly","REP","Marc Butler",486
"Fulton","Mayfield 3","NY State Assembly","118th Assembly","REP","Marc Butler",510
"Fulton","Mayfield 4","NY State Assembly","118th Assembly","REP","Marc Butler",538
"Fulton","Northampton 1","NY State Assembly","118th Assembly","REP","Marc Butler",490
"Fulton","Northampton 2","NY State Assembly","118th Assembly","REP","Marc Butler",39
"Fulton","Northampton 3","NY State Assembly","118th Assembly","REP","Marc Butler",317
"Fulton","Oppenheim 1","NY State Assembly","118th Assembly","REP","Marc Butler",494
"Fulton","Perth 1","NY State Assembly","118th Assembly","REP","Marc Butler",512
"Fulton","Perth 2","NY State Assembly","118th Assembly","REP","Marc Butler",566
"Fulton","Stratford 1","NY State Assembly","118th Assembly","REP","Marc Butler",198
"Fulton","Gloversville Ward 1 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",196
"Fulton","Gloversville Ward 1 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",249
"Fulton","Gloversville Ward 2 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",157
"Fulton","Gloversville Ward 2 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",170
"Fulton","Gloversville Ward 3 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",331
"Fulton","Gloversville Ward 3 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",262
"Fulton","Gloversville Ward 4 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",173
"Fulton","Gloversville Ward 4 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",204
"Fulton","Gloversville Ward 5 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",293
"Fulton","Gloversville Ward 5 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",284
"Fulton","Gloversville Ward 6 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",171
"Fulton","Gloversville Ward 6 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",236
"Fulton","Johnstown Ward 1 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",264
"Fulton","Johnstown Ward 1 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",300
"Fulton","Johnstown Ward 2 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",266
"Fulton","Johnstown Ward 2 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",299
"Fulton","Johnstown Ward 3 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",265
"Fulton","Johnstown Ward 3 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",248
"Fulton","Johnstown Ward 4 Dist 1","NY State Assembly","118th Assembly","REP","Marc Butler",309
"Fulton","Johnstown Ward 4 Dist 2","NY State Assembly","118th Assembly","REP","Marc Butler",253
"Fulton","Bleecker","NY State Assembly","118th Assembly","CON","Marc Butler",22
"Fulton","Broadalbin 1","NY State Assembly","118th Assembly","CON","Marc Butler",40
"Fulton","Broadalbin 2","NY State Assembly","118th Assembly","CON","Marc Butler",67
"Fulton","Broadalbin 3","NY State Assembly","118th Assembly","CON","Marc Butler",40
"Fulton","Broadalbin 4","NY State Assembly","118th Assembly","CON","Marc Butler",34
"Fulton","Caroga","NY State Assembly","118th Assembly","CON","Marc Butler",41
"Fulton","Ephratah","NY State Assembly","118th Assembly","CON","Marc Butler",57
"Fulton","Johnstown 1","NY State Assembly","118th Assembly","CON","Marc Butler",45
"Fulton","Johnstown 2","NY State Assembly","118th Assembly","CON","Marc Butler",45
"Fulton","Johnstown 3","NY State Assembly","118th Assembly","CON","Marc Butler",36
"Fulton","Johnstown 4","NY State Assembly","118th Assembly","CON","Marc Butler",48
"Fulton","Mayfield 1","NY State Assembly","118th Assembly","CON","Marc Butler",32
"Fulton","Mayfield 2","NY State Assembly","118th Assembly","CON","Marc Butler",43
"Fulton","Mayfield 3","NY State Assembly","118th Assembly","CON","Marc Butler",52
"Fulton","Mayfield 4","NY State Assembly","118th Assembly","CON","Marc Butler",62
"Fulton","Northampton 1","NY State Assembly","118th Assembly","CON","Marc Butler",61
"Fulton","Northampton 2","NY State Assembly","118th Assembly","CON","Marc Butler",8
"Fulton","Northampton 3","NY State Assembly","118th Assembly","CON","Marc Butler",35
"Fulton","Oppenheim 1","NY State Assembly","118th Assembly","CON","Marc Butler",62
"Fulton","Perth 1","NY State Assembly","118th Assembly","CON","Marc Butler",55
"Fulton","Perth 2","NY State Assembly","118th Assembly","CON","Marc Butler",71
"Fulton","Stratford 1","NY State Assembly","118th Assembly","CON","Marc Butler",24
"Fulton","Gloversville Ward 1 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",28
"Fulton","Gloversville Ward 1 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",25
"Fulton","Gloversville Ward 2 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",18
"Fulton","Gloversville Ward 2 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",22
"Fulton","Gloversville Ward 3 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",25
"Fulton","Gloversville Ward 3 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",25
"Fulton","Gloversville Ward 4 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",11
"Fulton","Gloversville Ward 4 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",21
"Fulton","Gloversville Ward 5 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",29
"Fulton","Gloversville Ward 5 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",30
"Fulton","Gloversville Ward 6 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",24
"Fulton","Gloversville Ward 6 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",28
"Fulton","Johnstown Ward 1 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",23
"Fulton","Johnstown Ward 1 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",30
"Fulton","Johnstown Ward 2 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",23
"Fulton","Johnstown Ward 2 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",23
"Fulton","Johnstown Ward 3 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",25
"Fulton","Johnstown Ward 3 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",22
"Fulton","Johnstown Ward 4 Dist 1","NY State Assembly","118th Assembly","CON","Marc Butler",23
"Fulton","Johnstown Ward 4 Dist 2","NY State Assembly","118th Assembly","CON","Marc Butler",20
"Fulton","Bleecker","NY State Assembly","118th Assembly","IND","Marc Butler",12
"Fulton","Broadalbin 1","NY State Assembly","118th Assembly","IND","Marc Butler",32
"Fulton","Broadalbin 2","NY State Assembly","118th Assembly","IND","Marc Butler",25
"Fulton","Broadalbin 3","NY State Assembly","118th Assembly","IND","Marc Butler",13
"Fulton","Broadalbin 4","NY State Assembly","118th Assembly","IND","Marc Butler",13
"Fulton","Caroga","NY State Assembly","118th Assembly","IND","Marc Butler",30
"Fulton","Ephratah","NY State Assembly","118th Assembly","IND","Marc Butler",28
"Fulton","Johnstown 1","NY State Assembly","118th Assembly","IND","Marc Butler",29
"Fulton","Johnstown 2","NY State Assembly","118th Assembly","IND","Marc Butler",36
"Fulton","Johnstown 3","NY State Assembly","118th Assembly","IND","Marc Butler",26
"Fulton","Johnstown 4","NY State Assembly","118th Assembly","IND","Marc Butler",19
"Fulton","Mayfield 1","NY State Assembly","118th Assembly","IND","Marc Butler",20
"Fulton","Mayfield 2","NY State Assembly","118th Assembly","IND","Marc Butler",9
