"county","precinct","office","district","party","candidate","votes"
"Fulton","Bleecker","NY State Senate","49th Senatorial","DEM","Chad Putman",72
"Fulton","Broadalbin 1","NY State Senate","49th Senatorial","DEM","Chad Putman",133
"Fulton","Broadalbin 2","NY State Senate","49th Senatorial","DEM","Chad Putman",125
"Fulton","Broadalbin 3","NY State Senate","49th Senatorial","DEM","Chad Putman",83
"Fulton","Broadalbin 4","NY State Senate","49th Senatorial","DEM","Chad Putman",101
"Fulton","Caroga","NY State Senate","49th Senatorial","DEM","Chad Putman",113
"Fulton","Ephratah","NY State Senate","49th Senatorial","DEM","Chad Putman",73
"Fulton","Johnstown 1","NY State Senate","49th Senatorial","DEM","Chad Putman",127
"Fulton","Johnstown 2","NY State Senate","49th Senatorial","DEM","Chad Putman",141
"Fulton","Johnstown 3","NY State Senate","49th Senatorial","DEM","Chad Putman",107
"Fulton","Johnstown 4","NY State Senate","49th Senatorial","DEM","Chad Putman",88
"Fulton","Mayfield 1","NY State Senate","49th Senatorial","DEM","Chad Putman",81
"Fulton","Mayfield 2","NY State Senate","49th Senatorial","DEM","Chad Putman",95
"Fulton","Mayfield 3","NY State Senate","49th Senatorial","DEM","Chad Putman",120
"Fulton","Mayfield 4","NY State Senate","49th Senatorial","DEM","Chad Putman",131
"Fulton","Northampton 1","NY State Senate","49th Senatorial","DEM","Chad Putman",106
"Fulton","Northampton 2","NY State Senate","49th Senatorial","DEM","Chad Putman",10
"Fulton","Northampton 3","NY State Senate","49th Senatorial","DEM","Chad Putman",112
"Fulton","Oppenheim 1","NY State Senate","49th Senatorial","DEM","Chad Putman",106
"Fulton","Perth 1","NY State Senate","49th Senatorial","DEM","Chad Putman",123
"Fulton","Perth 2","NY State Senate","49th Senatorial","DEM","Chad Putman",147
"Fulton","Stratford 1","NY State Senate","49th Senatorial","DEM","Chad Putman",30
"Fulton","Gloversville Ward 1 Dist 1","NY State Senate","49th Senatorial","DEM","Chad Putman",104
"Fulton","Gloversville Ward 1 Dist 2","NY State Senate","49th Senatorial","DEM","Chad Putman",96
"Fulton","Gloversville Ward 2 Dist 1","NY State Senate","49th Senatorial","DEM","Chad Putman",58
"Fulton","Gloversville Ward 2 Dist 2","NY State Senate","49th Senatorial","DEM","Chad Putman",51
