"county","precinct","office","district","party","candidate","votes"
"Fulton","Bleecker","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",80
"Fulton","Broadalbin 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",126
"Fulton","Broadalbin 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",130
"Fulton","Broadalbin 3","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",81
"Fulton","Broadalbin 4","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",91
"Fulton","Caroga","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",110
"Fulton","Ephratah","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",78
"Fulton","Johnstown 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",120
"Fulton","Johnstown 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",142
"Fulton","Johnstown 3","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",113
"Fulton","Johnstown 4","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",90
"Fulton","Mayfield 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",81
"Fulton","Mayfield 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",94
"Fulton","Mayfield 3","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",135
"Fulton","Mayfield 4","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",144
"Fulton","Northampton 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",106
"Fulton","Northampton 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",10
"Fulton","Northampton 3","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",125
"Fulton","Oppenheim 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",108
"Fulton","Perth 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",163
"Fulton","Perth 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",174
"Fulton","Stratford 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",29
"Fulton","Gloversville Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",103
"Fulton","Gloversville Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",92
"Fulton","Gloversville Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",65
"Fulton","Gloversville Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",63
"Fulton","Gloversville Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",112
"Fulton","Gloversville Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","DEM","Mike Derrick",108
