"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Troy 1","U.S. House ","20","DEM","Paul D. Tonko","383"
"Rensselaer","Troy 2","U.S. House ","20","DEM","Paul D. Tonko","173"
"Rensselaer","Troy 3","U.S. House ","20","DEM","Paul D. Tonko","248"
"Rensselaer","Troy 4","U.S. House ","20","DEM","Paul D. Tonko","216"
"Rensselaer","Troy 5","U.S. House ","20","DEM","Paul D. Tonko","270"
"Rensselaer","Troy 6","U.S. House ","20","DEM","Paul D. Tonko","260"
"Rensselaer","Troy 7","U.S. House ","20","DEM","Paul D. Tonko","386"
"Rensselaer","Troy 8","U.S. House ","20","DEM","Paul D. Tonko","260"
"Rensselaer","Troy 9","U.S. House ","20","DEM","Paul D. Tonko","328"
"Rensselaer","Troy 10","U.S. House ","20","DEM","Paul D. Tonko","298"
"Rensselaer","Troy 11","U.S. House ","20","DEM","Paul D. Tonko","395"
"Rensselaer","Troy 12","U.S. House ","20","DEM","Paul D. Tonko","341"
"Rensselaer","Troy 13","U.S. House ","20","DEM","Paul D. Tonko","366"
"Rensselaer","Troy 14","U.S. House ","20","DEM","Paul D. Tonko","265"
"Rensselaer","Troy 15","U.S. House ","20","DEM","Paul D. Tonko","330"
"Rensselaer","Troy 16","U.S. House ","20","DEM","Paul D. Tonko","249"
"Rensselaer","Troy 17","U.S. House ","20","DEM","Paul D. Tonko","332"
"Rensselaer","Troy 18","U.S. House ","20","DEM","Paul D. Tonko","440"
"Rensselaer","Troy 19","U.S. House ","20","DEM","Paul D. Tonko","381"
"Rensselaer","Troy 20","U.S. House ","20","DEM","Paul D. Tonko","279"
"Rensselaer","Troy 21","U.S. House ","20","DEM","Paul D. Tonko","317"
"Rensselaer","Troy 22","U.S. House ","20","DEM","Paul D. Tonko","340"
"Rensselaer","Troy 23","U.S. House ","20","DEM","Paul D. Tonko","114"
"Rensselaer","Troy 24","U.S. House ","20","DEM","Paul D. Tonko","394"
"Rensselaer","Troy 25","U.S. House ","20","DEM","Paul D. Tonko","293"
"Rensselaer","Troy 26","U.S. House ","20","DEM","Paul D. Tonko","280"
"Rensselaer","Troy 27","U.S. House ","20","DEM","Paul D. Tonko","260"
"Rensselaer","Troy 28","U.S. House ","20","DEM","Paul D. Tonko","235"
"Rensselaer","Troy 29","U.S. House ","20","DEM","Paul D. Tonko","315"
"Rensselaer","Troy 30","U.S. House ","20","DEM","Paul D. Tonko","279"
"Rensselaer","Rensselaer 1","U.S. House ","20","DEM","Paul D. Tonko","286"
"Rensselaer","Rensselaer 2","U.S. House ","20","DEM","Paul D. Tonko","327"
"Rensselaer","Rensselaer 3","U.S. House ","20","DEM","Paul D. Tonko","267"
"Rensselaer","Rensselaer 4","U.S. House ","20","DEM","Paul D. Tonko","274"
"Rensselaer","Rensselaer 5","U.S. House ","20","DEM","Paul D. Tonko","355"
"Rensselaer","Rensselaer 6","U.S. House ","20","DEM","Paul D. Tonko","440"
"Rensselaer","East Greenbush 1","U.S. House ","20","DEM","Paul D. Tonko","722"
"Rensselaer","East Greenbush 2","U.S. House ","20","DEM","Paul D. Tonko","535"
"Rensselaer","East Greenbush 3","U.S. House ","20","DEM","Paul D. Tonko","325"
"Rensselaer","East Greenbush 4","U.S. House ","20","DEM","Paul D. Tonko","312"
"Rensselaer","East Greenbush 5","U.S. House ","20","DEM","Paul D. Tonko","154"
"Rensselaer","East Greenbush 6","U.S. House ","20","DEM","Paul D. Tonko","536"
"Rensselaer","East Greenbush 7","U.S. House ","20","DEM","Paul D. Tonko","416"
"Rensselaer","East Greenbush 8","U.S. House ","20","DEM","Paul D. Tonko","472"
"Rensselaer","East Greenbush 9","U.S. House ","20","DEM","Paul D. Tonko","295"
"Rensselaer","East Greenbush 10","U.S. House ","20","DEM","Paul D. Tonko","420"
