"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Troy 1","State Senate","43","DEM","Shaun P. Francis","230"
"Rensselaer","Troy 2","State Senate","43","DEM","Shaun P. Francis","128"
"Rensselaer","Troy 3","State Senate","43","DEM","Shaun P. Francis","151"
"Rensselaer","Troy 4","State Senate","43","DEM","Shaun P. Francis","143"
"Rensselaer","Troy 5","State Senate","43","DEM","Shaun P. Francis","177"
"Rensselaer","Troy 6","State Senate","43","DEM","Shaun P. Francis","165"
"Rensselaer","Troy 7","State Senate","43","DEM","Shaun P. Francis","254"
"Rensselaer","Berlin 1","State Senate","43","DEM","Shaun P. Francis","98"
"Rensselaer","Berlin 2","State Senate","43","DEM","Shaun P. Francis","73"
"Rensselaer","Brunswick 1","State Senate","43","DEM","Shaun P. Francis","249"
"Rensselaer","Brunswick 2","State Senate","43","DEM","Shaun P. Francis","196"
"Rensselaer","Brunswick 3","State Senate","43","DEM","Shaun P. Francis","195"
"Rensselaer","Brunswick 4","State Senate","43","DEM","Shaun P. Francis","162"
"Rensselaer","Brunswick 5","State Senate","43","DEM","Shaun P. Francis","353"
"Rensselaer","Brunswick 6","State Senate","43","DEM","Shaun P. Francis","193"
"Rensselaer","Brunswick 7","State Senate","43","DEM","Shaun P. Francis","52"
"Rensselaer","Brunswick 8","State Senate","43","DEM","Shaun P. Francis","171"
"Rensselaer","Brunswick 9","State Senate","43","DEM","Shaun P. Francis","256"
"Rensselaer","Brunswick 10","State Senate","43","DEM","Shaun P. Francis","173"
"Rensselaer","East Greenbush 1","State Senate","43","DEM","Shaun P. Francis","543"
"Rensselaer","East Greenbush 2","State Senate","43","DEM","Shaun P. Francis","330"
"Rensselaer","East Greenbush 3","State Senate","43","DEM","Shaun P. Francis","215"
"Rensselaer","East Greenbush 4","State Senate","43","DEM","Shaun P. Francis","190"
"Rensselaer","East Greenbush 5","State Senate","43","DEM","Shaun P. Francis","104"
"Rensselaer","East Greenbush 6","State Senate","43","DEM","Shaun P. Francis","345"
"Rensselaer","East Greenbush 7","State Senate","43","DEM","Shaun P. Francis","295"
"Rensselaer","East Greenbush 8","State Senate","43","DEM","Shaun P. Francis","320"
"Rensselaer","East Greenbush 9","State Senate","43","DEM","Shaun P. Francis","295"
"Rensselaer","East Greenbush 10","State Senate","43","DEM","Shaun P. Francis","287"
"Rensselaer","East Greenbush 11","State Senate","43","DEM","Shaun P. Francis","316"
"Rensselaer","East Greenbush 12","State Senate","43","DEM","Shaun P. Francis","123"
"Rensselaer","Grafton 1","State Senate","43","DEM","Shaun P. Francis","121"
"Rensselaer","Grafton 2","State Senate","43","DEM","Shaun P. Francis","136"
"Rensselaer","Hoosick 1","State Senate","43","DEM","Shaun P. Francis","131"
"Rensselaer","Hoosick 2","State Senate","43","DEM","Shaun P. Francis","156"
"Rensselaer","Hoosick 3","State Senate","43","DEM","Shaun P. Francis","49"
"Rensselaer","Hoosick 4","State Senate","43","DEM","Shaun P. Francis","101"
"Rensselaer","Hoosick 5","State Senate","43","DEM","Shaun P. Francis","121"
"Rensselaer","Hoosick 6","State Senate","43","DEM","Shaun P. Francis","121"
"Rensselaer","Hoosick 7","State Senate","43","DEM","Shaun P. Francis","156"
"Rensselaer","Nassau 1","State Senate","43","DEM","Shaun P. Francis","150"
"Rensselaer","Nassau 2","State Senate","43","DEM","Shaun P. Francis","174"
"Rensselaer","Nassau 3","State Senate","43","DEM","Shaun P. Francis","137"
"Rensselaer","Nassau 4","State Senate","43","DEM","Shaun P. Francis","138"
"Rensselaer","North Greenbush 1","State Senate","43","DEM","Shaun P. Francis","111"
"Rensselaer","North Greenbush 2","State Senate","43","DEM","Shaun P. Francis","356"
"Rensselaer","North Greenbush 3","State Senate","43","DEM","Shaun P. Francis","214"
"Rensselaer","North Greenbush 4","State Senate","43","DEM","Shaun P. Francis","375"
"Rensselaer","North Greenbush 5","State Senate","43","DEM","Shaun P. Francis","297"
"Rensselaer","North Greenbush 6","State Senate","43","DEM","Shaun P. Francis","303"
"Rensselaer","North Greenbush 7","State Senate","43","DEM","Shaun P. Francis","154"
"Rensselaer","North Greenbush 8","State Senate","43","DEM","Shaun P. Francis","317"
"Rensselaer","Petersburgh 1","State Senate","43","DEM","Shaun P. Francis","185"
"Rensselaer","Pittstown 1","State Senate","43","DEM","Shaun P. Francis","63"
"Rensselaer","Pittstown 2","State Senate","43","DEM","Shaun P. Francis","55"
"Rensselaer","Pittstown 3","State Senate","43","DEM","Shaun P. Francis","70"
"Rensselaer","Pittstown 4","State Senate","43","DEM","Shaun P. Francis","169"
"Rensselaer","Pittstown 5","State Senate","43","DEM","Shaun P. Francis","68"
"Rensselaer","Pittstown 6","State Senate","43","DEM","Shaun P. Francis","70"
"Rensselaer","Poestenkill 1","State Senate","43","DEM","Shaun P. Francis","92"
"Rensselaer","Poestenkill 2","State Senate","43","DEM","Shaun P. Francis","181"
"Rensselaer","Poestenkill 3","State Senate","43","DEM","Shaun P. Francis","78"
"Rensselaer","Poestenkill 4","State Senate","43","DEM","Shaun P. Francis","257"
"Rensselaer","Sand Lake 1","State Senate","43","DEM","Shaun P. Francis","449"
"Rensselaer","Sand Lake 2","State Senate","43","DEM","Shaun P. Francis","222"
"Rensselaer","Sand Lake 3","State Senate","43","DEM","Shaun P. Francis","299"
"Rensselaer","Sand Lake 4","State Senate","43","DEM","Shaun P. Francis","104"
"Rensselaer","Sand Lake 5","State Senate","43","DEM","Shaun P. Francis","174"
"Rensselaer","Sand Lake 6","State Senate","43","DEM","Shaun P. Francis","121"
"Rensselaer","Schaghticoke 1","State Senate","43","DEM","Shaun P. Francis","151"
"Rensselaer","Schaghticoke 2","State Senate","43","DEM","Shaun P. Francis","37"
"Rensselaer","Schaghticoke 3","State Senate","43","DEM","Shaun P. Francis","107"
"Rensselaer","Schaghticoke 4","State Senate","43","DEM","Shaun P. Francis","79"
"Rensselaer","Schaghticoke 5","State Senate","43","DEM","Shaun P. Francis","139"
"Rensselaer","Schaghticoke 6","State Senate","43","DEM","Shaun P. Francis","145"
"Rensselaer","Schaghticoke 7","State Senate","43","DEM","Shaun P. Francis","119"
"Rensselaer","Schodack 1","State Senate","43","DEM","Shaun P. Francis","213"
"Rensselaer","Schodack 2","State Senate","43","DEM","Shaun P. Francis","105"
"Rensselaer","Schodack 3","State Senate","43","DEM","Shaun P. Francis","207"
"Rensselaer","Schodack 4","State Senate","43","DEM","Shaun P. Francis","193"
"Rensselaer","Schodack 5","State Senate","43","DEM","Shaun P. Francis","163"
"Rensselaer","Schodack 6","State Senate","43","DEM","Shaun P. Francis","243"
"Rensselaer","Schodack 7","State Senate","43","DEM","Shaun P. Francis","209"
"Rensselaer","Schodack 8","State Senate","43","DEM","Shaun P. Francis","163"
"Rensselaer","Schodack 9","State Senate","43","DEM","Shaun P. Francis","110"
"Rensselaer","Schodack 10","State Senate","43","DEM","Shaun P. Francis","190"
"Rensselaer","Schodack 11","State Senate","43","DEM","Shaun P. Francis","233"
"Rensselaer","Stephentown 1","State Senate","43","DEM","Shaun P. Francis","154"
"Rensselaer","Stephentown 2","State Senate","43","DEM","Shaun P. Francis","219"
"Rensselaer","Troy 1","State Senate","43","REP","Kathleen A. Marchione","304"
"Rensselaer","Troy 2","State Senate","43","REP","Kathleen A. Marchione","105"
"Rensselaer","Troy 3","State Senate","43","REP","Kathleen A. Marchione","185"
"Rensselaer","Troy 4","State Senate","43","REP","Kathleen A. Marchione","152"
"Rensselaer","Troy 5","State Senate","43","REP","Kathleen A. Marchione","152"
"Rensselaer","Troy 6","State Senate","43","REP","Kathleen A. Marchione","193"
"Rensselaer","Troy 7","State Senate","43","REP","Kathleen A. Marchione","284"
"Rensselaer","Berlin 1","State Senate","43","REP","Kathleen A. Marchione","269"
"Rensselaer","Berlin 2","State Senate","43","REP","Kathleen A. Marchione","176"
"Rensselaer","Brunswick 1","State Senate","43","REP","Kathleen A. Marchione","459"
"Rensselaer","Brunswick 2","State Senate","43","REP","Kathleen A. Marchione","292"
"Rensselaer","Brunswick 3","State Senate","43","REP","Kathleen A. Marchione","213"
"Rensselaer","Brunswick 4","State Senate","43","REP","Kathleen A. Marchione","390"
"Rensselaer","Brunswick 5","State Senate","43","REP","Kathleen A. Marchione","395"
"Rensselaer","Brunswick 6","State Senate","43","REP","Kathleen A. Marchione","242"
"Rensselaer","Brunswick 7","State Senate","43","REP","Kathleen A. Marchione","98"
"Rensselaer","Brunswick 8","State Senate","43","REP","Kathleen A. Marchione","412"
"Rensselaer","Brunswick 9","State Senate","43","REP","Kathleen A. Marchione","452"
"Rensselaer","Brunswick 10","State Senate","43","REP","Kathleen A. Marchione","217"
"Rensselaer","East Greenbush 1","State Senate","43","REP","Kathleen A. Marchione","475"
"Rensselaer","East Greenbush 2","State Senate","43","REP","Kathleen A. Marchione","467"
"Rensselaer","East Greenbush 3","State Senate","43","REP","Kathleen A. Marchione","235"
"Rensselaer","East Greenbush 4","State Senate","43","REP","Kathleen A. Marchione","220"
"Rensselaer","East Greenbush 5","State Senate","43","REP","Kathleen A. Marchione","122"
"Rensselaer","East Greenbush 6","State Senate","43","REP","Kathleen A. Marchione","424"
"Rensselaer","East Greenbush 7","State Senate","43","REP","Kathleen A. Marchione","304"
"Rensselaer","East Greenbush 8","State Senate","43","REP","Kathleen A. Marchione","323"
"Rensselaer","East Greenbush 9","State Senate","43","REP","Kathleen A. Marchione","130"
"Rensselaer","East Greenbush 10","State Senate","43","REP","Kathleen A. Marchione","298"
"Rensselaer","East Greenbush 11","State Senate","43","REP","Kathleen A. Marchione","341"
"Rensselaer","East Greenbush 12","State Senate","43","REP","Kathleen A. Marchione","149"
"Rensselaer","Grafton 1","State Senate","43","REP","Kathleen A. Marchione","293"
"Rensselaer","Grafton 2","State Senate","43","REP","Kathleen A. Marchione","336"
"Rensselaer","Hoosick 1","State Senate","43","REP","Kathleen A. Marchione","156"
"Rensselaer","Hoosick 2","State Senate","43","REP","Kathleen A. Marchione","319"
"Rensselaer","Hoosick 3","State Senate","43","REP","Kathleen A. Marchione","147"
"Rensselaer","Hoosick 4","State Senate","43","REP","Kathleen A. Marchione","147"
"Rensselaer","Hoosick 5","State Senate","43","REP","Kathleen A. Marchione","128"
"Rensselaer","Hoosick 6","State Senate","43","REP","Kathleen A. Marchione","169"
"Rensselaer","Hoosick 7","State Senate","43","REP","Kathleen A. Marchione","176"
"Rensselaer","Nassau 1","State Senate","43","REP","Kathleen A. Marchione","240"
"Rensselaer","Nassau 2","State Senate","43","REP","Kathleen A. Marchione","444"
"Rensselaer","Nassau 3","State Senate","43","REP","Kathleen A. Marchione","256"
"Rensselaer","Nassau 4","State Senate","43","REP","Kathleen A. Marchione","233"
"Rensselaer","North Greenbush 1","State Senate","43","REP","Kathleen A. Marchione","196"
"Rensselaer","North Greenbush 2","State Senate","43","REP","Kathleen A. Marchione","410"
"Rensselaer","North Greenbush 3","State Senate","43","REP","Kathleen A. Marchione","330"
"Rensselaer","North Greenbush 4","State Senate","43","REP","Kathleen A. Marchione","566"
"Rensselaer","North Greenbush 5","State Senate","43","REP","Kathleen A. Marchione","439"
"Rensselaer","North Greenbush 6","State Senate","43","REP","Kathleen A. Marchione","359"
"Rensselaer","North Greenbush 7","State Senate","43","REP","Kathleen A. Marchione","316"
"Rensselaer","North Greenbush 8","State Senate","43","REP","Kathleen A. Marchione","405"
"Rensselaer","Petersburgh 1","State Senate","43","REP","Kathleen A. Marchione","351"
"Rensselaer","Pittstown 1","State Senate","43","REP","Kathleen A. Marchione","189"
"Rensselaer","Pittstown 2","State Senate","43","REP","Kathleen A. Marchione","232"
"Rensselaer","Pittstown 3","State Senate","43","REP","Kathleen A. Marchione","370"
"Rensselaer","Pittstown 4","State Senate","43","REP","Kathleen A. Marchione","343"
"Rensselaer","Pittstown 5","State Senate","43","REP","Kathleen A. Marchione","278"
"Rensselaer","Pittstown 6","State Senate","43","REP","Kathleen A. Marchione","189"
"Rensselaer","Poestenkill 1","State Senate","43","REP","Kathleen A. Marchione","207"
"Rensselaer","Poestenkill 2","State Senate","43","REP","Kathleen A. Marchione","411"
"Rensselaer","Poestenkill 3","State Senate","43","REP","Kathleen A. Marchione","165"
"Rensselaer","Poestenkill 4","State Senate","43","REP","Kathleen A. Marchione","383"
"Rensselaer","Sand Lake 1","State Senate","43","REP","Kathleen A. Marchione","683"
"Rensselaer","Sand Lake 2","State Senate","43","REP","Kathleen A. Marchione","400"
"Rensselaer","Sand Lake 3","State Senate","43","REP","Kathleen A. Marchione","476"
"Rensselaer","Sand Lake 4","State Senate","43","REP","Kathleen A. Marchione","168"
"Rensselaer","Sand Lake 5","State Senate","43","REP","Kathleen A. Marchione","276"
"Rensselaer","Sand Lake 6","State Senate","43","REP","Kathleen A. Marchione","193"
"Rensselaer","Schaghticoke 1","State Senate","43","REP","Kathleen A. Marchione","411"
"Rensselaer","Schaghticoke 2","State Senate","43","REP","Kathleen A. Marchione","150"
"Rensselaer","Schaghticoke 3","State Senate","43","REP","Kathleen A. Marchione","351"
"Rensselaer","Schaghticoke 4","State Senate","43","REP","Kathleen A. Marchione","220"
"Rensselaer","Schaghticoke 5","State Senate","43","REP","Kathleen A. Marchione","216"
"Rensselaer","Schaghticoke 6","State Senate","43","REP","Kathleen A. Marchione","375"
"Rensselaer","Schaghticoke 7","State Senate","43","REP","Kathleen A. Marchione","405"
"Rensselaer","Schodack 1","State Senate","43","REP","Kathleen A. Marchione","295"
"Rensselaer","Schodack 2","State Senate","43","REP","Kathleen A. Marchione","191"
"Rensselaer","Schodack 3","State Senate","43","REP","Kathleen A. Marchione","310"
"Rensselaer","Schodack 4","State Senate","43","REP","Kathleen A. Marchione","412"
"Rensselaer","Schodack 5","State Senate","43","REP","Kathleen A. Marchione","183"
"Rensselaer","Schodack 6","State Senate","43","REP","Kathleen A. Marchione","387"
"Rensselaer","Schodack 7","State Senate","43","REP","Kathleen A. Marchione","379"
"Rensselaer","Schodack 8","State Senate","43","REP","Kathleen A. Marchione","362"
"Rensselaer","Schodack 9","State Senate","43","REP","Kathleen A. Marchione","181"
"Rensselaer","Schodack 10","State Senate","43","REP","Kathleen A. Marchione","251"
"Rensselaer","Schodack 11","State Senate","43","REP","Kathleen A. Marchione","339"
"Rensselaer","Stephentown 1","State Senate","43","REP","Kathleen A. Marchione","296"
"Rensselaer","Stephentown 2","State Senate","43","REP","Kathleen A. Marchione","346"
"Rensselaer","Troy 1","State Senate","43","CON","Kathleen A. Marchione","46"
"Rensselaer","Troy 2","State Senate","43","CON","Kathleen A. Marchione","24"
"Rensselaer","Troy 3","State Senate","43","CON","Kathleen A. Marchione","30"
"Rensselaer","Troy 4","State Senate","43","CON","Kathleen A. Marchione","40"
"Rensselaer","Troy 5","State Senate","43","CON","Kathleen A. Marchione","36"
"Rensselaer","Troy 6","State Senate","43","CON","Kathleen A. Marchione","51"
"Rensselaer","Troy 7","State Senate","43","CON","Kathleen A. Marchione","37"
"Rensselaer","Berlin 1","State Senate","43","CON","Kathleen A. Marchione","39"
"Rensselaer","Berlin 2","State Senate","43","CON","Kathleen A. Marchione","30"
