"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Troy 8","State Senate","44","DEM","Neil D. Breslin","239"
"Rensselaer","Troy 9","State Senate","44","DEM","Neil D. Breslin","311"
"Rensselaer","Troy 10","State Senate","44","DEM","Neil D. Breslin","282"
"Rensselaer","Troy 11","State Senate","44","DEM","Neil D. Breslin","361"
"Rensselaer","Troy 12","State Senate","44","DEM","Neil D. Breslin","311"
"Rensselaer","Troy 13","State Senate","44","DEM","Neil D. Breslin","340"
"Rensselaer","Troy 14","State Senate","44","DEM","Neil D. Breslin","233"
"Rensselaer","Troy 15","State Senate","44","DEM","Neil D. Breslin","296"
"Rensselaer","Troy 16","State Senate","44","DEM","Neil D. Breslin","229"
"Rensselaer","Troy 17","State Senate","44","DEM","Neil D. Breslin","300"
"Rensselaer","Troy 18","State Senate","44","DEM","Neil D. Breslin","392"
"Rensselaer","Troy 19","State Senate","44","DEM","Neil D. Breslin","348"
"Rensselaer","Troy 20","State Senate","44","DEM","Neil D. Breslin","260"
"Rensselaer","Troy 21","State Senate","44","DEM","Neil D. Breslin","272"
"Rensselaer","Troy 22","State Senate","44","DEM","Neil D. Breslin","311"
"Rensselaer","Troy 23","State Senate","44","DEM","Neil D. Breslin","106"
"Rensselaer","Troy 24","State Senate","44","DEM","Neil D. Breslin","345"
"Rensselaer","Troy 25","State Senate","44","DEM","Neil D. Breslin","256"
"Rensselaer","Troy 26","State Senate","44","DEM","Neil D. Breslin","256"
"Rensselaer","Troy 27","State Senate","44","DEM","Neil D. Breslin","245"
"Rensselaer","Troy 28","State Senate","44","DEM","Neil D. Breslin","208"
"Rensselaer","Troy 29","State Senate","44","DEM","Neil D. Breslin","269"
"Rensselaer","Troy 30","State Senate","44","DEM","Neil D. Breslin","237"
"Rensselaer","Rensselaer 1","State Senate","44","DEM","Neil D. Breslin","255"
"Rensselaer","Rensselaer 2","State Senate","44","DEM","Neil D. Breslin","308"
"Rensselaer","Rensselaer 3","State Senate","44","DEM","Neil D. Breslin","257"
"Rensselaer","Rensselaer 4","State Senate","44","DEM","Neil D. Breslin","259"
"Rensselaer","Rensselaer 5","State Senate","44","DEM","Neil D. Breslin","325"
"Rensselaer","Rensselaer 6","State Senate","44","DEM","Neil D. Breslin","392"
"Rensselaer","Troy 8","State Senate","44","REP","Christopher F. Davis","91"
"Rensselaer","Troy 9","State Senate","44","REP","Christopher F. Davis","82"
"Rensselaer","Troy 10","State Senate","44","REP","Christopher F. Davis","42"
"Rensselaer","Troy 11","State Senate","44","REP","Christopher F. Davis","89"
"Rensselaer","Troy 12","State Senate","44","REP","Christopher F. Davis","89"
"Rensselaer","Troy 13","State Senate","44","REP","Christopher F. Davis","149"
"Rensselaer","Troy 14","State Senate","44","REP","Christopher F. Davis","116"
"Rensselaer","Troy 15","State Senate","44","REP","Christopher F. Davis","87"
"Rensselaer","Troy 16","State Senate","44","REP","Christopher F. Davis","86"
"Rensselaer","Troy 17","State Senate","44","REP","Christopher F. Davis","69"
"Rensselaer","Troy 18","State Senate","44","REP","Christopher F. Davis","84"
"Rensselaer","Troy 19","State Senate","44","REP","Christopher F. Davis","96"
"Rensselaer","Troy 20","State Senate","44","REP","Christopher F. Davis","90"
"Rensselaer","Troy 21","State Senate","44","REP","Christopher F. Davis","132"
"Rensselaer","Troy 22","State Senate","44","REP","Christopher F. Davis","117"
"Rensselaer","Troy 23","State Senate","44","REP","Christopher F. Davis","45"
"Rensselaer","Troy 24","State Senate","44","REP","Christopher F. Davis","201"
"Rensselaer","Troy 25","State Senate","44","REP","Christopher F. Davis","163"
"Rensselaer","Troy 26","State Senate","44","REP","Christopher F. Davis","126"
"Rensselaer","Troy 27","State Senate","44","REP","Christopher F. Davis","72"
"Rensselaer","Troy 28","State Senate","44","REP","Christopher F. Davis","89"
"Rensselaer","Troy 29","State Senate","44","REP","Christopher F. Davis","98"
"Rensselaer","Troy 30","State Senate","44","REP","Christopher F. Davis","144"
"Rensselaer","Rensselaer 1","State Senate","44","REP","Christopher F. Davis","103"
"Rensselaer","Rensselaer 2","State Senate","44","REP","Christopher F. Davis","126"
"Rensselaer","Rensselaer 3","State Senate","44","REP","Christopher F. Davis","85"
"Rensselaer","Rensselaer 4","State Senate","44","REP","Christopher F. Davis","105"
"Rensselaer","Rensselaer 5","State Senate","44","REP","Christopher F. Davis","146"
"Rensselaer","Rensselaer 6","State Senate","44","REP","Christopher F. Davis","225"
"Rensselaer","Troy 8","State Senate","44","CON","Christopher F. Davis","33"
"Rensselaer","Troy 9","State Senate","44","CON","Christopher F. Davis","16"
"Rensselaer","Troy 10","State Senate","44","CON","Christopher F. Davis","17"
"Rensselaer","Troy 11","State Senate","44","CON","Christopher F. Davis","18"
"Rensselaer","Troy 12","State Senate","44","CON","Christopher F. Davis","21"
"Rensselaer","Troy 13","State Senate","44","CON","Christopher F. Davis","21"
"Rensselaer","Troy 14","State Senate","44","CON","Christopher F. Davis","32"
"Rensselaer","Troy 15","State Senate","44","CON","Christopher F. Davis","15"
"Rensselaer","Troy 16","State Senate","44","CON","Christopher F. Davis","19"
"Rensselaer","Troy 17","State Senate","44","CON","Christopher F. Davis","15"
"Rensselaer","Troy 18","State Senate","44","CON","Christopher F. Davis","15"
"Rensselaer","Troy 19","State Senate","44","CON","Christopher F. Davis","30"
"Rensselaer","Troy 20","State Senate","44","CON","Christopher F. Davis","22"
"Rensselaer","Troy 21","State Senate","44","CON","Christopher F. Davis","35"
"Rensselaer","Troy 22","State Senate","44","CON","Christopher F. Davis","34"
"Rensselaer","Troy 23","State Senate","44","CON","Christopher F. Davis","11"
"Rensselaer","Troy 24","State Senate","44","CON","Christopher F. Davis","44"
"Rensselaer","Troy 25","State Senate","44","CON","Christopher F. Davis","31"
"Rensselaer","Troy 26","State Senate","44","CON","Christopher F. Davis","26"
"Rensselaer","Troy 27","State Senate","44","CON","Christopher F. Davis","18"
"Rensselaer","Troy 28","State Senate","44","CON","Christopher F. Davis","14"
"Rensselaer","Troy 29","State Senate","44","CON","Christopher F. Davis","23"
"Rensselaer","Troy 30","State Senate","44","CON","Christopher F. Davis","33"
"Rensselaer","Rensselaer 1","State Senate","44","CON","Christopher F. Davis","26"
"Rensselaer","Rensselaer 2","State Senate","44","CON","Christopher F. Davis","20"
"Rensselaer","Rensselaer 3","State Senate","44","CON","Christopher F. Davis","15"
"Rensselaer","Rensselaer 4","State Senate","44","CON","Christopher F. Davis","22"
"Rensselaer","Rensselaer 5","State Senate","44","CON","Christopher F. Davis","22"
"Rensselaer","Rensselaer 6","State Senate","44","CON","Christopher F. Davis","41"
"Rensselaer","Troy 8","State Senate","44","GRE","Devya Arthur","18"
"Rensselaer","Troy 9","State Senate","44","GRE","Devya Arthur","8"
"Rensselaer","Troy 10","State Senate","44","GRE","Devya Arthur","15"
"Rensselaer","Troy 11","State Senate","44","GRE","Devya Arthur","25"
"Rensselaer","Troy 12","State Senate","44","GRE","Devya Arthur","13"
"Rensselaer","Troy 13","State Senate","44","GRE","Devya Arthur","12"
"Rensselaer","Troy 14","State Senate","44","GRE","Devya Arthur","19"
"Rensselaer","Troy 15","State Senate","44","GRE","Devya Arthur","19"
"Rensselaer","Troy 16","State Senate","44","GRE","Devya Arthur","24"
"Rensselaer","Troy 17","State Senate","44","GRE","Devya Arthur","21"
"Rensselaer","Troy 18","State Senate","44","GRE","Devya Arthur","39"
"Rensselaer","Troy 19","State Senate","44","GRE","Devya Arthur","27"
"Rensselaer","Troy 20","State Senate","44","GRE","Devya Arthur","18"
"Rensselaer","Troy 21","State Senate","44","GRE","Devya Arthur","9"
"Rensselaer","Troy 22","State Senate","44","GRE","Devya Arthur","24"
"Rensselaer","Troy 23","State Senate","44","GRE","Devya Arthur","8"
"Rensselaer","Troy 24","State Senate","44","GRE","Devya Arthur","8"
"Rensselaer","Troy 25","State Senate","44","GRE","Devya Arthur","12"
"Rensselaer","Troy 26","State Senate","44","GRE","Devya Arthur","7"
"Rensselaer","Troy 27","State Senate","44","GRE","Devya Arthur","9"
"Rensselaer","Troy 28","State Senate","44","GRE","Devya Arthur","14"
"Rensselaer","Troy 29","State Senate","44","GRE","Devya Arthur","13"
"Rensselaer","Troy 30","State Senate","44","GRE","Devya Arthur","7"
"Rensselaer","Rensselaer 1","State Senate","44","GRE","Devya Arthur","11"
"Rensselaer","Rensselaer 2","State Senate","44","GRE","Devya Arthur","9"
"Rensselaer","Rensselaer 3","State Senate","44","GRE","Devya Arthur","13"
"Rensselaer","Rensselaer 4","State Senate","44","GRE","Devya Arthur","2"
"Rensselaer","Rensselaer 5","State Senate","44","GRE","Devya Arthur","12"
"Rensselaer","Rensselaer 6","State Senate","44","GRE","Devya Arthur","7"
"Rensselaer","Troy 8","State Senate","44","WOR","Neil D. Breslin","21"
"Rensselaer","Troy 9","State Senate","44","WOR","Neil D. Breslin","19"
"Rensselaer","Troy 10","State Senate","44","WOR","Neil D. Breslin","15"
"Rensselaer","Troy 11","State Senate","44","WOR","Neil D. Breslin","42"
"Rensselaer","Troy 12","State Senate","44","WOR","Neil D. Breslin","23"
"Rensselaer","Troy 13","State Senate","44","WOR","Neil D. Breslin","27"
"Rensselaer","Troy 14","State Senate","44","WOR","Neil D. Breslin","8"
"Rensselaer","Troy 15","State Senate","44","WOR","Neil D. Breslin","13"
"Rensselaer","Troy 16","State Senate","44","WOR","Neil D. Breslin","20"
"Rensselaer","Troy 17","State Senate","44","WOR","Neil D. Breslin","26"
"Rensselaer","Troy 18","State Senate","44","WOR","Neil D. Breslin","35"
"Rensselaer","Troy 19","State Senate","44","WOR","Neil D. Breslin","36"
"Rensselaer","Troy 20","State Senate","44","WOR","Neil D. Breslin","29"
"Rensselaer","Troy 21","State Senate","44","WOR","Neil D. Breslin","21"
"Rensselaer","Troy 22","State Senate","44","WOR","Neil D. Breslin","25"
"Rensselaer","Troy 23","State Senate","44","WOR","Neil D. Breslin","9"
"Rensselaer","Troy 24","State Senate","44","WOR","Neil D. Breslin","30"
"Rensselaer","Troy 25","State Senate","44","WOR","Neil D. Breslin","24"
"Rensselaer","Troy 26","State Senate","44","WOR","Neil D. Breslin","17"
"Rensselaer","Troy 27","State Senate","44","WOR","Neil D. Breslin","18"
"Rensselaer","Troy 28","State Senate","44","WOR","Neil D. Breslin","19"
"Rensselaer","Troy 29","State Senate","44","WOR","Neil D. Breslin","22"
"Rensselaer","Troy 30","State Senate","44","WOR","Neil D. Breslin","13"
"Rensselaer","Rensselaer 1","State Senate","44","WOR","Neil D. Breslin","28"
"Rensselaer","Rensselaer 2","State Senate","44","WOR","Neil D. Breslin","19"
"Rensselaer","Rensselaer 3","State Senate","44","WOR","Neil D. Breslin","11"
"Rensselaer","Rensselaer 4","State Senate","44","WOR","Neil D. Breslin","15"
"Rensselaer","Rensselaer 5","State Senate","44","WOR","Neil D. Breslin","11"
"Rensselaer","Rensselaer 6","State Senate","44","WOR","Neil D. Breslin","11"
"Rensselaer","Troy 8","State Senate","44","IND","Neil D. Breslin","14"
"Rensselaer","Troy 9","State Senate","44","IND","Neil D. Breslin","19"
"Rensselaer","Troy 10","State Senate","44","IND","Neil D. Breslin","11"
"Rensselaer","Troy 11","State Senate","44","IND","Neil D. Breslin","23"
"Rensselaer","Troy 12","State Senate","44","IND","Neil D. Breslin","27"
"Rensselaer","Troy 13","State Senate","44","IND","Neil D. Breslin","30"
"Rensselaer","Troy 14","State Senate","44","IND","Neil D. Breslin","25"
"Rensselaer","Troy 15","State Senate","44","IND","Neil D. Breslin","16"
"Rensselaer","Troy 16","State Senate","44","IND","Neil D. Breslin","20"
"Rensselaer","Troy 17","State Senate","44","IND","Neil D. Breslin","18"
"Rensselaer","Troy 18","State Senate","44","IND","Neil D. Breslin","18"
"Rensselaer","Troy 19","State Senate","44","IND","Neil D. Breslin","17"
"Rensselaer","Troy 20","State Senate","44","IND","Neil D. Breslin","24"
"Rensselaer","Troy 21","State Senate","44","IND","Neil D. Breslin","29"
"Rensselaer","Troy 22","State Senate","44","IND","Neil D. Breslin","26"
"Rensselaer","Troy 23","State Senate","44","IND","Neil D. Breslin","6"
"Rensselaer","Troy 24","State Senate","44","IND","Neil D. Breslin","29"
"Rensselaer","Troy 25","State Senate","44","IND","Neil D. Breslin","19"
"Rensselaer","Troy 26","State Senate","44","IND","Neil D. Breslin","31"
"Rensselaer","Troy 27","State Senate","44","IND","Neil D. Breslin","12"
"Rensselaer","Troy 28","State Senate","44","IND","Neil D. Breslin","9"
"Rensselaer","Troy 29","State Senate","44","IND","Neil D. Breslin","25"
"Rensselaer","Troy 30","State Senate","44","IND","Neil D. Breslin","21"
"Rensselaer","Rensselaer 1","State Senate","44","IND","Neil D. Breslin","22"
"Rensselaer","Rensselaer 2","State Senate","44","IND","Neil D. Breslin","29"
"Rensselaer","Rensselaer 3","State Senate","44","IND","Neil D. Breslin","20"
"Rensselaer","Rensselaer 4","State Senate","44","IND","Neil D. Breslin","16"
"Rensselaer","Rensselaer 5","State Senate","44","IND","Neil D. Breslin","38"
"Rensselaer","Rensselaer 6","State Senate","44","IND","Neil D. Breslin","32"
"Rensselaer","Troy 8","State Senate","44","REF","Christopher F. Davis","5"
"Rensselaer","Troy 9","State Senate","44","REF","Christopher F. Davis","4"
"Rensselaer","Troy 10","State Senate","44","REF","Christopher F. Davis","5"
