"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Troy 9","State House","108","DEM","John T. McDonald III","347"
"Rensselaer","Troy 10","State House","108","DEM","John T. McDonald III","314"
"Rensselaer","Troy 11","State House","108","DEM","John T. McDonald III","415"
"Rensselaer","Troy 16","State House","108","DEM","John T. McDonald III","271"
"Rensselaer","Troy 17","State House","108","DEM","John T. McDonald III","332"
"Rensselaer","Troy 18","State House","108","DEM","John T. McDonald III","467"
"Rensselaer","Troy 19","State House","108","DEM","John T. McDonald III","394"
"Rensselaer","Troy 20","State House","108","DEM","John T. McDonald III","294"
"Rensselaer","Troy 21","State House","108","DEM","John T. McDonald III","316"
"Rensselaer","Troy 22","State House","108","DEM","John T. McDonald III","357"
"Rensselaer","Troy 24","State House","108","DEM","John T. McDonald III","416"
"Rensselaer","Troy 25","State House","108","DEM","John T. McDonald III","302"
"Rensselaer","Troy 26","State House","108","DEM","John T. McDonald III","290"
"Rensselaer","Troy 27","State House","108","DEM","John T. McDonald III","274"
"Rensselaer","Troy 28","State House","108","DEM","John T. McDonald III","249"
"Rensselaer","Troy 29","State House","108","DEM","John T. McDonald III","323"
"Rensselaer","Troy 30","State House","108","DEM","John T. McDonald III","281"
"Rensselaer","Rensselaer 1","State House","108","DEM","John T. McDonald III","293"
"Rensselaer","Rensselaer 2","State House","108","DEM","John T. McDonald III","345"
"Rensselaer","Rensselaer 3","State House","108","DEM","John T. McDonald III","277"
"Rensselaer","Rensselaer 4","State House","108","DEM","John T. McDonald III","277"
"Rensselaer","Rensselaer 5","State House","108","DEM","John T. McDonald III","363"
"Rensselaer","Rensselaer 6","State House","108","DEM","John T. McDonald III","469"
"Rensselaer","North Greenbush 1","State House","108","DEM","John T. McDonald III","215"
"Rensselaer","North Greenbush 2","State House","108","DEM","John T. McDonald III","525"
"Rensselaer","North Greenbush 3","State House","108","DEM","John T. McDonald III","394"
"Rensselaer","North Greenbush 4","State House","108","DEM","John T. McDonald III","628"
"Rensselaer","North Greenbush 5","State House","108","DEM","John T. McDonald III","529"
"Rensselaer","North Greenbush 6","State House","108","DEM","John T. McDonald III","480"
"Rensselaer","North Greenbush 7","State House","108","DEM","John T. McDonald III","302"
"Rensselaer","North Greenbush 8","State House","108","DEM","John T. McDonald III","512"
"Rensselaer","Troy 9","State House","108","IND","John T. McDonald III","49"
"Rensselaer","Troy 10","State House","108","IND","John T. McDonald III","32"
"Rensselaer","Troy 11","State House","108","IND","John T. McDonald III","61"
"Rensselaer","Troy 16","State House","108","IND","John T. McDonald III","63"
"Rensselaer","Troy 17","State House","108","IND","John T. McDonald III","53"
"Rensselaer","Troy 18","State House","108","IND","John T. McDonald III","63"
"Rensselaer","Troy 19","State House","108","IND","John T. McDonald III","57"
"Rensselaer","Troy 20","State House","108","IND","John T. McDonald III","71"
"Rensselaer","Troy 21","State House","108","IND","John T. McDonald III","66"
"Rensselaer","Troy 22","State House","108","IND","John T. McDonald III","73"
"Rensselaer","Troy 24","State House","108","IND","John T. McDonald III","88"
"Rensselaer","Troy 25","State House","108","IND","John T. McDonald III","79"
"Rensselaer","Troy 26","State House","108","IND","John T. McDonald III","84"
"Rensselaer","Troy 27","State House","108","IND","John T. McDonald III","36"
"Rensselaer","Troy 28","State House","108","IND","John T. McDonald III","40"
"Rensselaer","Troy 29","State House","108","IND","John T. McDonald III","63"
"Rensselaer","Troy 30","State House","108","IND","John T. McDonald III","63"
"Rensselaer","Rensselaer 1","State House","108","IND","John T. McDonald III","76"
"Rensselaer","Rensselaer 2","State House","108","IND","John T. McDonald III","81"
"Rensselaer","Rensselaer 3","State House","108","IND","John T. McDonald III","56"
"Rensselaer","Rensselaer 4","State House","108","IND","John T. McDonald III","62"
"Rensselaer","Rensselaer 5","State House","108","IND","John T. McDonald III","68"
"Rensselaer","Rensselaer 6","State House","108","IND","John T. McDonald III","106"
"Rensselaer","North Greenbush 1","State House","108","IND","John T. McDonald III","76"
"Rensselaer","North Greenbush 2","State House","108","IND","John T. McDonald III","146"
"Rensselaer","North Greenbush 3","State House","108","IND","John T. McDonald III","128"
"Rensselaer","North Greenbush 4","State House","108","IND","John T. McDonald III","224"
"Rensselaer","North Greenbush 5","State House","108","IND","John T. McDonald III","159"
"Rensselaer","North Greenbush 6","State House","108","IND","John T. McDonald III","139"
"Rensselaer","North Greenbush 7","State House","108","IND","John T. McDonald III","123"
"Rensselaer","North Greenbush 8","State House","108","IND","John T. McDonald III","164"
"Rensselaer","Troy 9","State House","108","","Write_In","2"
"Rensselaer","Troy 10","State House","108","","Write_In","1"
"Rensselaer","Troy 11","State House","108","","Write_In","4"
"Rensselaer","Troy 16","State House","108","","Write_In","2"
"Rensselaer","Troy 17","State House","108","","Write_In","0"
"Rensselaer","Troy 18","State House","108","","Write_In","2"
"Rensselaer","Troy 19","State House","108","","Write_In","1"
