"November 8, 2016",DEM,IND,Write-In,Blank,Void
,John T. McDonald III,John T. McDonald III,,,
Troy 9,347,49,2,109,1
Troy 10,314,32,1,96,0
Troy 11,415,61,4,135,0
Troy 16,271,63,2,111,0
Troy 17,332,53,0,151,0
Troy 18,467,63,2,112,0
Troy 19,394,57,1,145,0
Troy 20,294,71,1,134,0
Troy 21,316,66,0,175,0
Troy 22,357,73,4,133,0
Troy 24,416,88,2,219,0
Troy 25,302,79,0,170,0
Troy 26,290,84,0,125,0
Troy 27,274,36,1,119,0
Troy 28,249,40,2,111,0
Troy 29,323,63,6,124,0
Troy 30,281,63,1,166,0
Rensselaer 1,293,76,3,129,0
Rensselaer 2,345,81,3,117,0
Rensselaer 3,277,56,2,106,0
Rensselaer 4,277,62,0,129,0
Rensselaer 5,363,68,2,160,0
Rensselaer 6,469,106,2,195,0
North Greenbush 1,215,76,1,149,0
North Greenbush 2,525,146,5,334,1
North Greenbush 3,394,128,6,230,0
North Greenbush 4,628,224,1,414,0
North Greenbush 5,529,159,5,270,0
North Greenbush 6,480,139,4,260,0
North Greenbush 7,302,123,1,231,0
North Greenbush 8,512,164,3,288,0
