"November 8, 2016",DEM,REP,CON,GRE,WOR,IND,REF,Write-In,Blank,
,Shaun P. Francis,Kathleen A. Marchione,Kathleen A. Marchione,"Joseph 
Levy",Shaun P. Francis,Kathleen A. Marchione,Kathleen A. Marchione,,,
Troy 1,230,304,46,3,12,22,0,0,54,0
Troy 2,128,105,24,6,11,8,0,0,18,0
Troy 3,151,185,30,12,16,21,3,0,44,0
Troy 4,143,152,40,19,12,23,1,0,41,0
Troy 5,177,152,36,17,16,34,3,0,41,0
Troy 6,165,193,51,8,15,38,1,0,49,0
Troy 7,254,284,37,23,29,21,13,0,53,0
Berlin 1,98,269,39,7,16,23,0,0,28,0
Berlin 2,73,176,30,8,12,6,3,0,24,0
Brunswick 1,249,459,80,23,23,59,2,0,57,0
Brunswick 2,196,292,53,19,22,44,3,0,55,0
Brunswick 3,195,213,45,11,14,33,0,0,36,0
Brunswick 4,162,390,58,4,18,37,4,0,46,0
Brunswick 5,353,395,83,18,33,52,2,1,73,0
Brunswick 6,193,242,46,12,20,29,2,1,49,0
Brunswick 7,52,98,15,5,9,15,2,0,9,0
Brunswick 8,171,412,80,21,18,51,4,0,50,0
Brunswick 9,256,452,98,14,20,31,1,0,57,0
Brunswick 10,173,217,47,8,12,25,1,0,29,0
East Greenbush 1,543,475,79,19,37,77,6,0,80,0
East Greenbush 2,330,467,76,15,24,69,4,0,82,0
East Greenbush 3,215,235,44,16,14,35,1,1,38,0
East Greenbush 4,190,220,29,15,19,38,0,1,54,0
East Greenbush 5,104,122,22,3,6,17,1,0,22,0
East Greenbush 6,345,424,77,22,23,69,3,0,61,1
East Greenbush 7,295,304,45,10,17,25,0,0,41,0
East Greenbush 8,320,323,53,16,20,56,2,1,47,0
East Greenbush 9,295,130,35,25,34,4,2,1,29,0
East Greenbush 10,287,298,51,13,25,34,4,1,64,0
East Greenbush 11,316,341,57,16,22,45,5,1,60,0
East Greenbush 12,123,149,27,5,13,22,1,0,25,0
Grafton 1,121,293,73,38,15,23,3,0,4,0
Grafton 2,136,336,72,6,13,30,5,1,48,0
Hoosick 1,131,156,23,13,14,17,1,0,32,0
Hoosick 2,156,319,46,6,15,28,4,0,51,0
Hoosick 3,49,147,36,4,7,18,2,0,12,0
Hoosick 4,101,147,24,7,15,18,2,0,37,0
Hoosick 5,121,128,17,20,19,24,3,0,29,0
Hoosick 6,121,169,27,15,14,23,2,0,24,0
Hoosick 7,156,176,38,16,20,21,1,0,36,0
Nassau 1,150,240,32,14,21,16,1,0,35,0
Nassau 2,174,444,93,16,30,27,7,1,58,0
Nassau 3,137,256,62,18,18,22,1,0,26,0
Nassau 4,138,233,19,24,15,27,6,0,34,0
North Greenbush 1,111,196,45,13,7,30,2,1,36,0
North Greenbush 2,356,410,70,24,29,45,4,2,70,1
North Greenbush 3,214,330,50,14,15,48,4,0,83,0
North Greenbush 4,375,566,97,23,49,76,4,0,77,0
North Greenbush 5,297,439,78,17,13,50,1,2,66,0
North Greenbush 6,303,359,67,14,24,44,3,1,68,0
North Greenbush 7,154,316,64,13,16,32,4,0,58,0
North Greenbush 8,317,405,75,14,27,54,4,0,71,0
Petersburgh 1,185,351,57,18,22,27,1,0,55,0
Pittstown 1,63,189,35,6,14,14,1,0,23,0
Pittstown 2,55,232,50,5,7,16,1,0,27,0
Pittstown 3,70,370,54,11,7,22,1,0,41,0
Pittstown 4,169,343,62,15,9,25,1,1,50,0
Pittstown 5,68,278,47,9,7,26,1,0,23,0
Pittstown 6,70,189,41,8,10,14,0,0,17,0
Poestenkill 1,92,207,24,6,12,25,2,0,34,0
Poestenkill 2,181,411,88,17,30,31,2,0,47,0
Poestenkill 3,78,165,22,8,9,20,0,0,26,0
Poestenkill 4,257,383,70,16,26,53,2,0,58,0
Sand Lake 1,449,683,132,37,57,98,1,0,84,0
Sand Lake 2,222,400,81,18,35,40,3,0,36,0
Sand Lake 3,299,476,89,17,35,60,3,0,68,0
Sand Lake 4,104,168,42,8,12,23,0,0,18,0
Sand Lake 5,174,276,52,13,21,39,3,0,45,0
Sand Lake 6,121,193,29,9,10,17,1,0,28,0
Schaghticoke 1,151,411,104,10,22,48,5,0,53,0
Schaghticoke 2,37,150,26,8,3,7,2,0,13,0
Schaghticoke 3,107,351,79,10,11,24,3,2,27,0
Schaghticoke 4,79,220,30,8,10,21,4,0,21,0
Schaghticoke 5,139,216,38,10,11,29,0,0,37,0
Schaghticoke 6,145,375,66,12,12,32,3,1,72,0
Schaghticoke 7,119,405,76,9,13,40,4,0,52,0
Schodack 1,213,295,41,12,23,21,1,3,52,0
Schodack 2,105,191,23,7,10,19,3,1,23,0
Schodack 3,207,310,66,13,21,34,2,0,32,0
Schodack 4,193,412,50,6,38,44,6,0,54,0
Schodack 5,163,183,26,19,13,23,3,0,19,0
Schodack 6,243,387,64,22,18,43,1,0,43,0
Schodack 7,209,379,60,22,28,42,1,0,49,0
Schodack 8,163,362,70,14,14,47,3,1,44,0
Schodack 9,110,181,26,12,12,26,1,0,27,0
Schodack 10,190,251,26,12,24,28,3,0,45,0
Schodack 11,233,339,50,17,17,40,2,0,40,0
Stephentown 1,154,296,34,12,15,34,3,0,48,0
Stephentown 2,219,346,73,17,21,38,3,0,51,0
