"November 8, 2016",DEM,REP,CON,GRE,WOR,IND,REF,Write-In,Blank,Void
,"Neil D. 
Breslin",Christopher F. Davis,Christopher F. Davis,"Devya
 Arthur","Neil D. 
Breslin","Neil D. 
Breslin",Christopher F. Davis,,,
Troy 8,239,91,33,18,21,14,5,2,29,0
Troy 9,311,82,16,8,19,19,4,1,47,1
Troy 10,282,42,17,15,15,11,5,0,56,0
Troy 11,361,89,18,25,42,23,2,1,54,0
Troy 12,311,89,21,13,23,27,4,0,33,0
Troy 13,340,149,21,12,27,30,2,1,44,0
Troy 14,233,116,32,19,8,25,4,0,34,0
Troy 15,296,87,15,19,13,16,2,0,39,0
Troy 16,229,86,19,24,20,20,5,0,44,0
Troy 17,300,69,15,21,26,18,5,0,82,0
Troy 18,392,84,15,39,35,18,8,0,53,0
Troy 19,348,96,30,27,36,17,1,1,41,0
Troy 20,260,90,22,18,29,24,6,0,51,0
Troy 21,272,132,35,9,21,29,6,0,53,0
Troy 22,311,117,34,24,25,26,2,0,28,0
Troy 23,106,45,11,8,9,6,1,0,11,0
Troy 24,345,201,44,8,30,29,10,1,57,0
Troy 25,256,163,31,12,24,19,4,0,42,0
Troy 26,256,126,26,7,17,31,1,0,35,0
Troy 27,245,72,18,9,18,12,3,0,53,0
Troy 28,208,89,14,14,19,9,0,0,49,0
Troy 29,269,98,23,13,22,25,4,1,61,0
Troy 30,237,144,33,7,13,21,2,1,53,0
Rensselaer 1,255,103,26,11,28,22,3,0,53,0
Rensselaer 2,308,126,20,9,19,29,7,0,28,0
Rensselaer 3,257,85,15,13,11,20,1,0,39,0
Rensselaer 4,259,105,22,2,15,16,6,0,43,0
Rensselaer 5,325,146,22,12,11,38,5,1,33,0
Rensselaer 6,392,225,41,7,11,32,10,0,54,0
