"November 8, 2016",DEM,REP,CON,WOR,IND,REF,Write-In,Blank,Void
,Zephyr Teachout,"John J. 
Faso","John J. 
Faso",Zephyr Teachout,"John J. 
Faso","John J. 
Faso",,,
Berlin 1,119,252,39,25,19,3,1,22,0
Berlin 2,99,170,25,14,8,2,0,14,0
Brunswick 1,302,432,85,53,34,0,2,45,0
Brunswick 2,253,280,50,32,32,1,2,35,0
Brunswick 3,237,198,49,22,20,1,0,23,0
Brunswick 4,215,354,55,25,32,3,0,35,0
Brunswick 5,432,362,80,47,38,2,1,48,0
Brunswick 6,245,228,44,27,23,0,1,29,0
Brunswick 7,67,91,14,9,18,3,0,5,0
Brunswick 8,249,381,84,29,33,2,2,29,0
Brunswick 9,282,443,101,31,25,1,2,45,0
Brunswick 10,213,206,45,14,25,0,0,9,0
Grafton 1,154,271,72,28,20,2,0,23,0
Grafton 2,185,308,73,16,25,3,1,40,0
Hoosick 1,154,157,24,12,18,0,0,23,0
Hoosick 2,184,322,40,23,21,2,1,33,0
Hoosick 3,64,135,34,17,13,3,0,9,0
Hoosick 4,125,153,22,18,8,1,0,29,0
Hoosick 5,135,130,20,24,26,1,0,25,0
Hoosick 6,130,182,26,18,19,2,0,18,0
Hoosick 7,187,172,44,24,9,0,0,28,0
Nassau 1,172,244,30,30,11,0,0,23,0
Nassau 2,237,423,91,44,19,5,1,31,0
Nassau 3,172,250,60,28,13,1,1,15,0
Nassau 4,184,221,19,24,17,4,0,28,0
Petersburgh 1,229,339,61,25,20,1,1,41,0
Pittstown 1,79,186,35,14,10,0,2,19,0
Pittstown 2,86,224,42,12,15,1,0,13,0
Pittstown 3,109,350,50,17,17,1,0,33,0
Pittstown 4,215,324,63,21,21,1,0,30,0
Pittstown 5,116,242,39,14,19,1,0,28,0
Pittstown 6,104,164,39,20,9,0,0,15,0
Poestenkill 1,123,199,20,21,18,2,0,19,0
Poestenkill 2,212,413,86,38,25,2,0,31,0
Poestenkill 3,110,157,18,14,14,0,0,15,0
Poestenkill 4,304,380,60,39,49,3,0,30,0
Sand Lake 1,586,623,77,90,63,0,1,108,0
Sand Lake 2,291,376,78,44,29,0,0,18,0
Sand Lake 3,396,439,93,40,40,1,4,34,0
Sand Lake 4,134,162,39,19,13,0,1,11,0
Sand Lake 5,221,263,44,40,27,2,1,25,0
Sand Lake 6,153,180,32,17,13,2,0,13,0
Schaghticoke 1,207,376,103,36,35,3,1,43,0
Schaghticoke 2,62,129,25,10,7,1,0,12,0
Schaghticoke 3,156,305,81,19,15,3,5,30,0
Schaghticoke 4,111,202,28,16,9,0,0,27,0
Schaghticoke 5,169,199,39,23,21,0,0,31,0
Schaghticoke 6,210,338,64,23,28,4,4,47,0
Schaghticoke 7,182,358,71,32,30,3,0,42,0
Schodack 2,135,183,23,16,14,0,0,11,0
Schodack 4,243,377,50,43,48,8,0,34,0
Schodack 7,260,367,62,38,34,0,0,29,0
Schodack 8,222,344,69,32,32,2,0,18,0
Schodack 9,145,170,27,20,19,0,0,14,0
Stephentown 1,227,268,36,15,22,3,0,25,0
Stephentown 2,288,306,71,43,22,2,0,37,0
