"November 8, 2016",DEM,REP,CON,WOR,IND,WEP,REF,Write-In,Blank,Void
,"Paul D.
Tonko","Joe
Vitollo","Joe
Vitollo","Paul D.
Tonko","Paul D.
Tonko","Paul D.
Tonko","Joe
Vitollo",,,
Troy 1,383,177,33,9,32,5,0,0,32,0
Troy 2,173,57,24,19,13,2,1,0,11,0
Troy 3,248,102,17,33,26,5,1,0,30,0
Troy 4,216,98,32,24,22,6,2,0,31,0
Troy 5,270,74,21,27,23,8,6,0,47,0
Troy 6,260,110,40,23,29,8,3,1,46,0
Troy 7,386,188,26,40,31,6,5,0,33,0
Troy 8,260,92,31,27,13,8,2,0,20,0
Troy 9,328,75,18,25,19,3,4,1,34,1
Troy 10,298,38,14,21,13,12,1,0,46,0
Troy 11,395,81,16,39,25,12,3,0,47,0
Troy 12,341,71,21,29,25,6,1,1,29,0
Troy 13,366,135,21,27,32,9,2,0,34,0
Troy 14,265,99,33,16,22,6,3,0,28,0
Troy 15,330,74,12,15,13,11,3,0,35,1
Troy 16,249,70,15,30,26,14,2,1,41,0
Troy 17,332,68,14,25,18,12,4,0,63,0
Troy 18,440,74,13,36,26,11,8,0,40,0
Troy 19,381,90,24,36,22,6,1,0,43,0
Troy 20,279,76,19,34,34,8,2,1,47,0
Troy 21,317,117,28,26,29,4,2,0,36,0
Troy 22,340,103,33,29,23,9,1,0,32,0
Troy 23,114,41,8,12,11,2,0,0,9,0
Troy 24,394,179,38,31,37,6,4,1,37,0
Troy 25,293,145,23,25,25,7,4,0,29,0
Troy 26,280,113,23,20,36,4,3,1,19,0
Troy 27,260,71,20,26,8,5,1,1,38,0
Troy 28,235,72,11,24,11,4,1,0,44,0
Troy 29,315,81,25,21,23,5,1,1,46,0
Troy 30,279,119,29,16,22,7,2,1,38,0
Rensselaer 1,286,90,24,22,22,9,4,0,45,0
Rensselaer 2,327,118,23,18,28,9,3,0,20,0
Rensselaer 3,267,81,15,7,25,4,4,0,38,0
Rensselaer 4,274,92,21,18,16,3,2,0,42,0
Rensselaer 5,355,130,21,11,41,6,3,1,31,0
Rensselaer 6,440,199,32,16,33,11,5,0,37,0
East Greenbush 1,722,315,69,40,85,19,5,0,61,0
East Greenbush 2,535,305,66,36,61,6,4,0,54,0
East Greenbush 3,325,158,27,20,28,5,1,0,37,0
East Greenbush 4,312,143,18,24,31,7,2,1,28,0
East Greenbush 5,154,77,19,8,18,3,0,0,19,0
East Greenbush 6,536,280,62,31,66,6,1,1,44,1
East Greenbush 7,416,210,43,14,26,7,1,0,24,0
East Greenbush 8,472,201,42,19,59,8,2,1,36,0
East Greenbush 9,295,130,35,25,34,4,2,1,29,0
East Greenbush 10,420,183,44,31,35,7,5,1,51,0
East Greenbush 11,476,204,55,22,46,8,7,1,45,0
East Greenbush 12,189,98,26,15,23,0,0,0,15,0
North Greenbush 1,201,113,37,18,26,6,3,0,37,0
North Greenbush 2,513,287,57,39,40,6,6,2,63,1
North Greenbush 3,387,197,37,31,42,7,5,0,53,0
North Greenbush 4,613,385,82,44,60,13,5,0,67,0
North Greenbush 5,505,269,63,23,54,3,2,0,44,0
North Greenbush 6,473,235,54,28,43,7,5,1,40,0
North Greenbush 7,292,199,52,19,33,5,3,0,54,0
North Greenbush 8,489,274,59,31,63,7,8,0,39,0
Schodack 1,345,200,32,20,29,7,0,1,27,0
Schodack 3,328,204,63,19,38,6,6,0,22,0
Schodack 5,231,121,25,24,24,7,5,0,12,0
Schodack 6,391,267,60,30,41,4,3,0,26,0
Schodack 10,292,169,28,27,28,4,9,0,23,0
Schodack 11,362,224,45,21,39,10,5,0,33,0
