"November 8, 2016",DEM,REP,CON,GRE,WOR,IND,WEP,LIB,Write-In,Blank,Void
,"Hillary Clinton
Tim Kaine","Donald J. Trump
Michael R. Pence","Donald J. Trump
Michael R. Pence","Jill Stein
Ajamu Baraka","Hillary Clinton
Tim Kaine","Gary Johnson
Bill Weld","Hillary Clinton
Tim Kaine","Gary Johnson
Bill Weld",,,
Troy 1,321,266,41,3,9,15,4,3,4,5,0
Troy 2,145,98,27,2,7,9,3,4,4,1,0
Troy 3,196,170,35,10,17,16,3,5,6,4,0
Troy 4,173,168,40,16,8,11,2,5,5,0,3
Troy 5,240,151,27,11,14,11,7,8,6,1,0
Troy 6,234,189,42,8,11,11,6,8,9,3,0
Troy 7,328,275,37,16,20,17,4,8,6,0,4
Troy 8,247,123,33,9,17,10,5,4,5,0,0
Troy 9,324,107,19,8,13,13,9,8,4,2,1
Troy 10,337,56,13,6,10,6,6,4,4,1,0
Troy 11,391,125,21,32,15,15,4,7,5,3,0
Troy 12,328,104,26,13,15,17,4,9,6,3,0
Troy 13,318,201,26,12,18,20,12,6,13,0,0
Troy 14,229,153,39,14,10,10,4,4,5,4,0
Troy 15,313,95,12,18,10,13,8,13,7,4,1
Troy 16,259,97,17,17,16,11,9,15,6,2,0
Troy 17,361,94,15,21,17,8,7,6,4,3,0
Troy 18,461,79,10,32,24,13,11,16,3,0,0
Troy 19,383,105,24,31,25,6,6,10,11,2,0
Troy 20,270,115,30,15,19,18,8,8,8,9,0
Troy 21,258,218,34,7,12,16,3,6,5,0,0
Troy 22,300,150,29,21,19,14,6,17,14,0,0
Troy 23,110,55,10,6,8,3,2,1,2,0,0
Troy 24,341,245,49,16,26,19,9,6,9,7,0
Troy 25,216,230,39,12,12,17,6,6,8,6,0
Troy 26,247,173,22,8,10,19,10,3,4,3,0
Troy 27,276,98,19,6,12,3,4,9,2,1,0
Troy 28,223,124,13,13,14,7,1,2,2,3,0
Troy 29,300,126,31,11,10,19,4,7,7,3,0
Troy 30,225,208,37,5,10,14,5,5,2,1,1
Rensselaer 1,236,169,33,18,10,13,7,7,8,2,0
Rensselaer 2,283,183,24,9,14,13,5,5,7,3,0
Rensselaer 3,239,138,18,14,12,6,4,3,6,1,0
Rensselaer 4,254,150,21,8,9,11,2,7,3,4,0
Rensselaer 5,308,204,27,11,9,15,6,5,5,9,0
Rensselaer 6,398,270,35,4,11,22,7,12,6,8,0
Berlin 1,132,256,39,15,10,12,3,7,5,1,0
Berlin 2,98,175,26,5,3,6,3,12,2,2,0
Brunswick 1,345,404,87,24,23,28,8,14,10,10,0
Brunswick 2,270,281,50,17,18,25,6,6,8,4,0
Brunswick 3,250,183,42,13,10,9,7,8,11,17,0
Brunswick 4,237,352,55,8,8,25,3,14,10,7,0
Brunswick 5,461,373,73,18,25,24,10,10,11,7,0
Brunswick 6,273,234,36,11,12,12,5,9,3,2,0
Brunswick 7,77,87,14,0,7,10,0,5,5,2,0
Brunswick 8,268,389,79,17,7,19,6,11,6,7,0
Brunswick 9,345,391,93,13,17,20,5,8,7,31,0
Brunswick 10,237,176,42,7,6,16,6,6,12,4,0
East Greenbush 1,651,436,73,22,29,39,14,26,19,7,0
East Greenbush 2,455,423,70,5,25,32,6,20,22,9,0
East Greenbush 3,274,234,38,15,9,10,3,9,5,4,0
East Greenbush 4,267,231,21,4,11,12,5,6,8,1,0
East Greenbush 5,131,115,22,5,2,11,2,3,3,5,0
East Greenbush 6,444,429,71,15,17,22,11,6,7,6,1
East Greenbush 7,386,253,42,8,13,11,7,9,8,4,0
East Greenbush 8,412,300,51,9,14,21,9,9,8,7,0
East Greenbush 9,228,209,45,13,13,21,3,12,10,1,0
East Greenbush 10,376,253,45,14,16,27,6,15,9,16,0
East Greenbush 11,401,312,55,10,15,30,6,20,7,8,0
East Greenbush 12,151,146,30,2,9,14,1,3,6,4,0
Grafton 1,150,288,63,14,14,19,6,6,5,5,0
Grafton 2,192,323,70,8,7,19,5,8,12,7,0
Hoosick 1,172,147,23,12,5,10,2,8,5,4,0
Hoosick 2,214,320,39,5,11,15,6,3,9,4,0
Hoosick 3,61,152,33,4,6,11,2,3,2,1,0
Hoosick 4,135,153,28,4,6,14,3,4,5,4,0
Hoosick 5,139,151,23,6,13,16,2,2,7,2,0
Hoosick 6,154,181,26,8,4,11,3,6,0,2,0
Hoosick 7,198,171,40,7,11,19,8,5,5,0,0
Nassau 1,197,226,30,7,15,14,6,8,5,2,0
Nassau 2,244,427,85,10,29,23,7,13,7,7,0
Nassau 3,174,249,48,23,16,13,3,8,3,3,0
Nassau 4,177,232,28,17,12,9,3,8,6,5,0
North Greenbush 1,147,200,43,11,8,15,1,5,3,8,0
North Greenbush 2,472,378,53,16,17,24,7,17,21,8,1
North Greenbush 3,302,324,52,15,14,25,6,9,6,6,0
North Greenbush 4,475,560,90,19,31,38,13,16,16,11,0
North Greenbush 5,402,405,67,16,16,20,8,10,13,6,0
