"November 8, 2016",DEM,REP,CON,GRE,WOR,IND,WEP,REF,LIB,Write-In,Blank,"
Void"
,"Charles E.
Schumer","Wendy 
Long","Wendy 
Long",Robin Laverne Wilson,"Charles E.
Schumer","Charles E.
Schumer","Charles E.
Schumer","Wendy 
Long","Alex 
Merced",Write-In,,
Troy 1,407,163,28,2,16,19,7,0,1,1,27,0
Troy 2,176,63,20,3,16,7,5,0,3,0,7,0
Troy 3,261,93,26,9,22,20,7,2,3,0,19,0
Troy 4,219,90,35,19,18,15,3,2,6,0,24,0
Troy 5,291,91,22,7,17,15,10,0,7,0,16,0
Troy 6,281,105,25,7,29,28,5,5,8,0,27,0
Troy 7,404,176,26,15,37,29,4,2,3,0,19,0
Troy 8,264,85,25,18,26,12,5,0,9,0,9,0
Troy 9,334,72,15,9,23,20,7,2,7,0,18,1
Troy 10,310,31,12,13,26,9,8,1,10,0,23,0
Troy 11,386,73,15,36,36,17,9,0,11,1,34,0
Troy 12,342,77,14,12,25,20,2,1,8,0,23,0
Troy 13,379,122,18,10,30,37,8,3,5,3,11,0
Troy 14,281,95,27,9,19,18,4,0,4,0,15,0
Troy 15,325,74,15,19,15,10,9,1,9,0,17,0
Troy 16,251,75,15,28,26,15,12,2,6,0,18,0
Troy 17,338,55,15,24,24,15,10,1,10,0,44,0
Troy 18,424,66,16,43,33,14,12,2,15,0,23,0
Troy 19,376,87,22,24,38,14,8,3,7,0,24,0
Troy 20,290,73,15,20,36,25,7,1,7,0,26,0
Troy 21,325,115,23,6,27,31,1,1,5,0,25,0
Troy 22,345,101,32,17,26,16,8,0,22,0,3,0
Troy 23,114,39,11,5,11,8,0,1,3,0,5,0
Troy 24,407,165,36,13,40,26,8,3,6,1,22,0
Troy 25,295,143,22,12,27,19,8,2,5,0,18,0
Troy 26,309,102,24,9,16,23,3,2,0,0,11,0
Troy 27,280,61,15,8,21,11,5,1,3,0,25,0
Troy 28,245,68,7,10,26,7,3,1,4,0,31,0
Troy 29,312,85,19,10,28,20,6,4,6,0,28,0
Troy 30,294,113,26,11,20,16,6,2,6,0,19,0
Rensselaer 1,280,88,23,10,28,28,11,2,6,1,25,0
Rensselaer 2,340,91,17,11,32,23,9,2,6,0,15,0
Rensselaer 3,282,77,17,10,15,15,5,1,4,0,15,0
Rensselaer 4,295,93,16,6,17,14,5,1,0,0,21,0
Rensselaer 5,358,127,19,11,16,31,7,1,4,1,24,0
Rensselaer 6,463,182,29,7,24,29,9,1,12,1,16,0
Berlin 1,179,182,34,14,26,20,1,2,8,0,14,0
Berlin 2,129,125,27,11,12,3,3,1,2,1,18,0
Brunswick 1,416,300,62,24,52,48,8,3,9,1,30,0
Brunswick 2,355,170,39,9,34,38,9,1,5,0,25,0
Brunswick 3,297,141,35,5,12,19,8,4,2,0,27,0
