"",Whole Number,DEM,REP,CON,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Michael R.,Mary Beth Walsh,Mary Beth Walsh,Mary Beth Walsh,Michael R.,Mary Beth Walsh,Write-in,Scatter,
"",,Godlewski,,,,Godlewski,,,,
Ballston,5828,1732,2968,399,160,75,34,3,0,457
Charlton,2632,669,1418,210,79,34,9,7,0,206
Clifton Park,21317,7584,9545,1474,560,252,76,10,2,1814
Galway,2042,497,1104,160,49,28,4,2,0,198
Greenfield,3968,1329,1810,244,99,69,18,3,0,396
Halfmoon,11681,3883,5495,706,333,138,40,7,2,1077
Milton,8713,2607,4237,505,249,115,36,4,2,958
Providence,974,196,556,70,24,9,5,1,0,113
COUNTY TOTALS,57155,18497,27133,3768,1553,720,222,37,6,5219
