,Whole Number,DEM,REP,CON,IND,REF,WRT,SCT,Blank Votes
,,Carrie Woerner,Christopher H.,Christopher H.,Carrie Woerner,Christopher H.,Write-in,Scatter,
,,,Boyark,Boyark,,Boyark,,,
Malta,8171,3714,3020,467,392,41,2,2,533
Mechanicville,1944,858,723,90,86,11,1,1,174
Moreau,6790,3090,2408,356,357,31,3,1,544
Northumberlan,2414,984,983,139,130,12,0,0,166
Saratoga,2780,978,989,168,157,9,2,0,477
Saratoga Spgs,14239,8044,4039,563,631,59,2,0,901
Stillwater,4355,1618,1931,309,185,30,0,1,281
Wilton,8617,4071,3184,413,384,27,10,2,526
