"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Shaun P. Francis,Kathleen A.,Kathleen A.,Joseph Levy,Shaun P. Francis,Kathleen A.,Kathleen A.,Write-in,Scatter,
"",,,Marchione,Marchione,,,Marchione,Marchione,,,
Greenfield,3968,1176,1915,259,122,84,124,14,1,0,273
Halfmoon,11681,3551,5906,720,206,207,355,43,2,1,690
Mechanicville,1944,524,992,98,28,52,72,12,0,1,165
Moreau,6790,1697,3514,391,245,125,257,19,2,1,539
Northumberlan,2414,574,1308,162,87,49,83,10,0,1,140
Saratoga,2780,793,1361,215,65,49,112,9,2,1,173
Saratoga Spgs,12211,5469,4464,458,322,324,333,32,4,2,803
Stillwater,4355,922,2465,344,79,82,155,17,1,0,290
Waterford,3964,1156,1908,265,90,87,155,13,1,0,289
Wilton,8617,2755,4215,468,180,187,266,17,3,0,526
COUNTY TOTALS,58724,18617,28048,3380,1424,1246,1912,186,16,7,3888
