,Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
,,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
Ballston,5828,1254,3530,386,121,181,45,23,0,0,288
Charlton,2632,492,1653,236,37,90,13,11,1,0,99
Clifton Park,21317,5870,11568,1595,271,745,143,90,6,1,1028
Corinth,2524,427,1602,191,48,89,14,9,0,0,144
Day,449,75,286,40,5,11,1,0,0,0,31
Edinburg,792,104,566,61,8,21,1,1,1,0,29
Galway,2042,364,1269,178,46,52,13,11,0,0,109
Hadley,924,130,612,94,7,23,5,4,0,0,49
Malta,8171,2109,4496,578,143,281,55,40,1,2,466
Milton,8713,1850,5212,579,150,346,54,49,2,1,470
Providence,974,158,620,83,14,37,4,4,1,0,53
Saratoga Spgs,2028,630,1042,127,32,89,8,11,0,0,89
COUNTY TOTALS,56394,13463,32456,4148,882,1965,356,253,12,4,2855
