"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Paul D. Tonko,Joe Vitollo,Joe Vitollo,Paul D. Tonko,Paul D. Tonko,Paul D. Tonko,Joe Vitollo,Write-in,Scatter,
Ballston,5321,2404,1958,346,124,138,41,35,0,0,275
Charlton,2632,1087,1044,206,60,80,18,5,0,0,132
Clifton Park,21317,11141,6625,1310,438,570,176,81,3,1,972
Halfmoon,11681,5798,3894,621,301,291,81,39,1,4,651
Malta,8171,3976,2734,462,215,231,62,30,3,2,456
Mechanicville,1944,1008,548,74,72,61,9,8,0,1,163
Saratoga Spgs,14239,8277,3651,542,406,372,157,39,4,1,790
Stillwater,1682,720,638,113,63,46,13,7,0,0,82
Waterford,3964,2012,1186,206,140,134,31,18,1,1,235
COUNTY TOTALS,70951,36423,22278,3880,1819,1923,588,262,12,10,3756
