"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Matthew J.,Mike Derrick,Elise M. Stefanik,Elise M. Stefanik,Write-in,Scatter,
"",,,,,Funiciello,,,,,,
Ballston,507,170,220,26,20,11,18,1,0,0,41
Corinth,2524,449,1513,197,117,46,84,12,0,0,106
Day,449,75,267,39,25,4,5,1,0,0,33
Edinburg,792,128,505,61,15,14,14,3,0,0,52
Galway,2042,410,1188,166,46,49,54,6,1,0,122
Greenfield,3968,1127,1988,240,169,103,120,14,0,0,207
Hadley,924,131,592,86,36,7,30,3,0,0,39
Milton,8713,2250,4640,531,267,178,273,35,4,1,534
Moreau,6790,1439,3775,410,523,104,246,35,4,1,253
Northumberlan,2414,524,1352,152,121,47,88,12,3,1,114
Providence,974,162,597,69,22,22,26,2,2,0,72
Saratoga,2780,798,1389,193,112,57,102,5,3,1,120
Stillwater,2673,629,1221,210,59,62,99,10,0,1,382
Wilton,8617,2583,4387,493,316,164,260,16,5,1,392
