"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,REF,LBT,WRT,SCT,Blank Votes
"",,Charles E. Schumer,Wendy Long,Wendy Long,Robin Laverne,Charles E. Schumer,Charles E. Schumer,Charles E. Schumer,Wendy Long,Alex Merced,Write-in,Scatter,
"",,,,,Wilson,,,,,,,,
Ballston,5828,2723,2007,370,65,158,162,52,33,57,0,1,200
Charlton,2632,1063,1059,203,28,63,72,18,6,26,1,0,93
Clifton Park,21317,11318,6369,1194,195,525,621,183,66,202,2,1,641
Corinth,2524,1017,978,133,49,107,71,20,7,29,0,0,113
Day,449,143,208,35,6,15,11,1,1,4,0,0,25
Edinburg,792,290,354,44,7,34,16,5,0,1,0,0,41
Galway,2042,756,841,142,20,86,52,18,6,21,0,0,100
Greenfield,3968,1869,1335,204,69,149,98,33,11,42,1,0,157
Hadley,924,274,452,67,9,29,24,6,2,12,0,0,49
Halfmoon,11681,5962,3697,565,132,331,312,89,34,111,2,1,445
Malta,8171,4072,2586,428,106,245,244,60,26,83,3,2,316
Mechanicville,1944,992,543,66,25,84,56,22,5,25,0,1,125
Milton,8713,4101,2949,399,97,325,239,64,22,103,0,0,414
Moreau,6790,3347,2071,311,145,264,222,46,22,67,1,0,294
Northumberlan,2414,1083,855,114,37,103,66,22,15,17,0,1,101
Providence,974,318,453,61,15,26,25,9,3,13,0,0,51
Saratoga,2780,1327,924,155,41,88,90,24,7,30,1,0,93
Saratoga Spgs,14239,8519,3409,468,250,406,386,133,43,143,9,0,473
Stillwater,4355,1941,1554,280,46,146,121,34,18,38,1,0,176
Waterford,3964,2046,1118,200,60,158,141,29,15,41,3,1,152
Wilton,8617,4393,2773,372,104,263,234,72,21,73,7,3,302
COUNTY TOTALS,115118,57554,36535,5811,1506,3605,3263,940,363,1138,31,11,4361
