"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
Ballston,5828,2271,2530,365,99,87,167,42,95,39,61,72
Charlton,2632,897,1278,198,36,29,74,15,45,9,26,25
Clifton Park,21317,9908,8126,1166,288,254,542,176,332,101,226,198
Corinth,2524,706,1418,139,53,41,87,13,29,6,20,12
Day,449,104,281,28,6,2,11,1,3,1,5,7
Edinburg,792,180,513,52,6,9,11,1,6,1,7,6
Galway,2042,608,1083,141,29,39,54,16,28,9,20,15
Greenfield,3968,1598,1700,208,70,62,124,26,88,22,42,28
Hadley,924,214,578,63,8,3,26,3,12,5,3,9
Halfmoon,11681,4859,5157,584,148,152,303,62,168,31,111,106
Malta,8171,3494,3333,445,124,128,254,47,149,19,93,85
Mechanicville,1944,784,883,93,20,34,63,14,24,2,18,9
Milton,8713,3455,3850,425,131,138,292,50,168,20,111,73
Moreau,6790,2546,3175,349,158,75,232,38,97,14,52,54
Northumberlan,2414,837,1173,142,51,32,83,14,28,10,22,22
Providence,974,221,598,62,17,8,30,6,18,1,9,4
Saratoga,2780,1098,1219,153,47,42,87,15,48,12,33,26
Saratoga Spgs,14239,7911,4149,484,285,280,412,131,211,40,197,139
Stillwater,4355,1440,2212,302,54,58,123,19,54,19,41,33
Waterford,3964,1592,1734,225,60,65,133,20,58,7,39,31
Wilton,8617,3780,3594,367,135,115,246,48,101,31,130,70
