"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,657,277,274,58,5,6,16,3,6,1,6,5
W:000 D:002,600,236,248,61,6,14,13,5,7,,6,4
W:000 D:003,456,194,180,25,9,7,11,3,7,6,10,4
W:000 D:004,876,400,333,46,17,6,32,4,15,5,10,8
W:000 D:005,282,106,124,24,2,6,4,2,7,1,2,4
W:000 D:006,700,335,262,44,3,7,12,9,10,2,12,4
W:000 D:007,355,176,136,14,3,6,7,4,4,,4,1
W:000 D:008,699,390,219,28,7,11,15,6,6,3,8,6
W:000 D:009,276,166,68,9,7,4,10,1,5,2,,4
W:000 D:010,714,324,301,28,8,14,18,2,7,4,4,4
W:000 D:011,602,279,225,33,7,4,22,1,10,7,10,4
W:000 D:012,783,356,316,53,10,7,14,4,12,,3,8
W:000 D:013,601,276,226,28,12,9,11,4,13,2,11,9
W:000 D:014,700,305,276,43,11,13,14,4,12,7,2,13
W:000 D:015,819,366,326,37,4,12,21,7,18,4,16,8
W:000 D:016,620,310,215,34,7,12,17,4,12,2,2,5
W:000 D:017,455,229,162,18,6,3,13,8,7,1,3,5
W:000 D:018,673,350,218,37,12,7,22,4,10,3,7,3
W:000 D:019,702,339,250,46,7,10,25,7,8,,7,3
W:000 D:020,644,309,232,33,4,6,17,8,13,4,6,12
W:000 D:021,730,370,245,30,11,5,22,7,17,5,13,5
W:000 D:022,698,311,267,45,14,6,21,6,12,4,8,4
W:000 D:023,626,264,256,45,11,9,15,3,9,2,3,9
W:000 D:024,652,328,237,30,6,7,14,5,12,3,1,9
W:000 D:025,733,342,286,38,8,11,14,7,13,4,5,5
W:000 D:026,537,225,221,29,15,7,13,4,5,5,8,5
W:000 D:027,614,228,270,45,7,11,21,10,8,5,5,4
W:000 D:028,450,205,181,21,8,5,15,1,4,2,1,7
W:000 D:029,742,362,273,34,7,4,18,6,16,2,17,3
W:000 D:030,378,167,153,13,10,2,11,6,8,,2,6
W:000 D:031,798,389,309,32,6,9,13,8,13,4,9,6
W:000 D:032,539,257,208,26,12,1,14,6,6,,5,4
W:000 D:033,664,310,251,35,11,6,9,7,13,7,9,6
W:000 D:034,942,427,378,44,15,7,28,10,7,4,11,11
