"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,612,211,285,36,13,5,28,2,13,1,5,13
W:000 D:002,574,233,268,30,5,9,11,1,10,,4,3
W:000 D:003,765,296,349,46,8,4,22,2,18,4,10,6
W:000 D:004,835,345,368,53,5,13,17,8,10,2,10,4
W:000 D:005,584,246,247,39,4,17,11,6,5,,3,6
W:000 D:006,590,223,280,29,9,6,16,7,5,3,4,8
W:000 D:007,694,308,300,31,5,7,21,1,13,,5,3
W:000 D:008,596,243,267,26,7,7,13,5,13,5,5,5
W:000 D:009,909,394,363,48,15,16,24,6,14,1,14,14
W:000 D:010,489,255,175,11,8,9,13,3,7,,6,2
W:000 D:011,978,435,406,39,14,15,30,3,14,8,6,8
W:000 D:012,698,258,352,41,3,9,16,2,7,2,8,0
W:000 D:013,410,202,156,19,8,8,6,2,5,1,2,1
W:000 D:014,736,312,314,35,12,8,24,3,8,2,11,7
W:000 D:015,249,118,87,10,8,3,7,2,6,2,3,3
W:000 D:016,205,61,111,16,1,2,6,2,4,,,2
W:000 D:017,276,140,106,7,5,4,5,1,3,,2,3
W:000 D:018,914,334,472,39,12,7,21,3,10,,8,8
W:000 D:019,567,245,251,29,6,3,12,3,3,,5,10
