"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,885,351,401,55,8,7,17,5,20,1,12,8
W:000 D:002,902,363,410,50,14,9,21,3,16,2,6,8
W:000 D:003,588,267,174,32,16,23,31,10,18,2,11,4
W:000 D:004,542,241,216,35,5,11,16,0,8,,4,6
W:000 D:005,577,223,248,35,9,5,21,2,14,2,12,6
W:000 D:006,747,344,269,41,17,12,18,8,16,,12,10
W:000 D:007,608,301,228,19,9,12,18,1,10,,5,5
W:000 D:008,700,332,256,34,10,14,21,8,12,4,4,5
W:000 D:009,430,160,195,27,2,7,21,1,1,2,5,9
W:000 D:010,697,293,296,36,13,9,23,4,10,1,5,7
W:000 D:011,744,308,309,39,12,14,24,2,17,4,8,7
W:000 D:012,751,311,331,42,9,5,23,3,7,1,9,10
