"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,547,284,169,26,11,13,15,5,13,1,7,3
W:000 D:002,621,238,284,27,10,9,17,6,14,,12,4
W:000 D:003,332,125,148,11,10,4,14,3,10,1,2,4
W:000 D:004,849,345,364,51,9,12,25,12,13,1,9,8
W:000 D:005,697,274,313,30,13,6,28,0,17,2,9,5
W:000 D:006,555,134,312,33,10,8,31,2,10,2,7,6
W:000 D:007,701,227,359,36,9,15,28,2,13,1,5,6
W:000 D:008,347,162,137,13,3,2,10,1,11,,4,4
W:000 D:009,710,316,299,28,7,7,23,5,8,1,11,5
W:000 D:010,847,380,331,36,9,22,18,3,18,6,17,7
W:000 D:011,607,247,252,32,10,8,24,3,10,3,7,11
W:000 D:012,501,137,279,34,6,9,16,5,6,,8,1
W:000 D:013,756,318,333,41,8,8,21,0,13,2,8,4
W:000 D:014,643,268,270,27,16,15,22,3,12,,5,5
