"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,415,153,201,16,10,7,9,3,3,1,9,3
W:000 D:002,369,151,173,11,10,2,12,2,5,,,3
W:000 D:003,580,237,236,27,20,7,24,4,12,,4,9
W:000 D:004,739,250,371,36,20,9,25,7,12,,6,3
W:000 D:005,797,309,355,49,12,10,34,3,12,2,5,6
W:000 D:006,713,248,360,31,22,6,18,5,6,3,7,7
W:000 D:007,473,159,256,17,8,2,12,1,7,,7,4
W:000 D:008,381,141,180,17,11,3,12,0,9,3,1,4
W:000 D:009,600,245,235,47,15,9,23,3,12,3,4,4
W:000 D:010,940,307,486,63,16,11,30,8,9,1,3,6
W:000 D:011,783,346,322,35,14,9,33,2,10,1,6,5
