"",Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,SCT,Blank Votes
"",,Clinton/Kaine,Trump/Pence,Trump/Pence,Stein/Baraka,Clinton/Kaine,Johnson/Weld,Clinton/Kaine,Johnson/ Weld,Write-in,Scatter,
W:000 D:001,621,383,164,15,14,5,10,7,10,,11,2
W:000 D:002,530,351,115,8,8,11,17,3,6,,6,5
W:000 D:003,272,118,104,6,3,9,16,4,4,2,3,3
W:000 D:004,629,414,124,20,10,15,14,8,10,,13,1
W:000 D:005,567,321,154,20,12,17,17,6,6,4,4,6
W:000 D:006,676,421,152,13,16,20,19,8,12,2,8,5
W:000 D:007,172,69,68,14,2,5,5,1,2,,3,3
W:000 D:008,536,347,117,8,15,11,10,5,12,1,7,3
W:000 D:009,556,350,123,11,11,9,21,6,8,2,7,8
W:000 D:010,456,229,147,24,12,7,20,4,2,2,6,3
W:000 D:011,957,538,257,28,23,25,24,13,21,2,14,12
W:000 D:012,567,342,127,20,14,15,14,8,10,3,10,4
W:000 D:013,357,199,98,11,10,9,9,4,3,2,9,3
W:000 D:014,751,413,227,19,14,19,20,7,12,,10,10
W:000 D:015,550,278,173,17,10,13,23,9,6,1,14,6
W:000 D:016,438,192,176,18,10,13,12,2,5,,6,4
W:000 D:017,663,270,290,25,9,11,19,3,11,4,10,11
W:000 D:018,523,224,199,30,20,6,18,3,12,1,4,6
W:000 D:019,546,286,180,24,12,10,16,3,3,,4,8
W:000 D:020,650,288,252,32,13,9,29,3,14,6,4,0
W:000 D:021,660,344,211,30,8,12,25,4,8,1,10,7
W:000 D:022,911,465,316,44,17,4,20,3,14,3,12,13
W:000 D:023,848,453,258,40,10,12,27,9,11,3,13,12
W:000 D:024,475,429,15,1,5,10,3,7,1,1,3,0
W:000 D:025,328,187,102,6,7,3,4,1,8,,6,4
