"",Whole Number,DEM,REP,CON,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Michael R.,Mary Beth Walsh,Mary Beth Walsh,Mary Beth Walsh,Michael R.,Mary Beth Walsh,Write-in,Scatter,
"",,Godlewski,,,,Godlewski,,,,
W:000 D:001,507,178,238,24,15,6,0,1,,45
W:000 D:002,649,194,321,43,17,10,2,,,62
W:000 D:003,873,254,478,57,16,8,4,,,56
W:000 D:004,806,242,406,52,23,6,8,,,69
W:000 D:005,480,149,227,36,15,7,4,,,42
W:000 D:006,1033,311,528,70,28,15,8,,,73
W:000 D:007,447,125,226,34,12,5,3,1,,41
W:000 D:008,591,162,306,41,18,8,3,1,,52
W:000 D:009,442,117,238,42,16,10,2,,,17
