,Whole Number,DEM,REP,CON,IND,WEP,REF,WRT,SCT,Blank Votes
,,Michael R.,Mary Beth Walsh,Mary Beth Walsh,Mary Beth Walsh,Michael R.,Mary Beth Walsh,Write-in,Scatter,
,,Godlewski,,,,Godlewski,,,,
W:000 D:001,657,210,294,60,21,8,4,,,60
W:000 D:002,600,176,275,68,21,10,2,,,48
W:000 D:003,456,161,213,33,13,4,1,2,,29
W:000 D:004,876,316,404,55,20,6,5,1,,69
W:000 D:005,282,91,135,25,8,3,0,,,20
W:000 D:006,700,255,295,53,21,10,3,,,63
W:000 D:007,355,151,161,17,6,1,0,,,19
W:000 D:008,699,300,275,34,22,10,5,,,53
W:000 D:009,276,137,73,17,6,8,1,,,34
W:000 D:010,714,264,342,35,13,4,3,,,53
W:000 D:011,602,204,285,46,18,3,2,,,44
W:000 D:012,783,279,339,63,14,7,1,,,80
W:000 D:013,601,220,272,30,19,6,2,,,52
W:000 D:014,700,244,313,59,13,7,2,1,,61
W:000 D:015,819,257,404,52,21,13,1,4,,67
W:000 D:016,620,246,263,38,18,9,2,,,44
W:000 D:017,455,156,193,30,20,8,0,,,48
W:000 D:018,673,276,267,44,26,9,1,,,50
W:000 D:019,702,266,280,56,29,4,3,,,64
W:000 D:020,644,227,298,41,12,5,0,1,,60
W:000 D:021,730,284,290,44,19,8,3,,,82
W:000 D:022,698,239,300,53,17,9,2,,1,77
W:000 D:023,626,207,288,62,13,10,1,,,45
W:000 D:024,652,245,285,39,19,4,7,,,53
W:000 D:025,733,246,350,45,11,14,2,,,65
W:000 D:026,537,174,264,44,10,9,5,,,31
W:000 D:027,614,190,289,51,16,9,3,,,56
W:000 D:028,450,147,221,32,9,3,2,,1,35
W:000 D:029,742,269,343,45,17,6,3,,,59
W:000 D:030,378,137,180,15,10,9,1,,,26
W:000 D:031,798,279,368,42,22,5,4,,,78
W:000 D:032,539,204,238,36,10,6,1,,,44
W:000 D:033,664,227,302,45,21,13,2,1,,53
W:000 D:034,942,300,446,65,25,12,2,,,92
