,Whole Number,DEM,REP,CON,IND,WEP,REF,WRT,SCT,Blank Votes
,,Michael R.,Mary Beth Walsh,Mary Beth Walsh,Mary Beth Walsh,Michael R.,Mary Beth Walsh,Write-in,Scatter,
,,Godlewski,,,,Godlewski,,,,
W:000 D:001,515,182,252,22,8,10,1,,,40
W:000 D:002,430,120,215,23,11,10,2,1,,48
W:000 D:003,495,151,211,41,13,6,7,,,66
W:000 D:004,540,242,201,29,10,4,1,,,53
W:000 D:005,626,186,311,43,20,13,1,,,52
W:000 D:006,482,170,218,34,8,5,3,,,44
W:000 D:007,432,116,214,28,10,5,2,,,57
W:000 D:008,448,162,188,24,19,16,1,2,,36
