,Whole Number,DEM,REP,CON,IND,WEP,REF,WRT,SCT,Blank Votes
,,Michael R.,Mary Beth Walsh,Mary Beth Walsh,Mary Beth Walsh,Michael R.,Mary Beth Walsh,Write-in,Scatter,
,,Godlewski,,,,Godlewski,,,,
W:000 D:001,612,182,288,40,25,6,1,1,,69
W:000 D:002,574,188,289,38,12,5,2,1,,39
W:000 D:003,765,230,399,53,16,4,1,,,62
W:000 D:004,835,273,388,60,27,7,5,,1,74
W:000 D:005,584,186,266,38,20,11,1,,,62
W:000 D:006,590,181,275,27,22,8,2,2,,73
W:000 D:007,694,250,334,37,19,9,0,,,45
W:000 D:008,596,186,298,39,12,11,2,,1,47
W:000 D:009,909,300,408,52,31,12,4,,,102
W:000 D:010,489,224,177,18,14,10,2,,,44
W:000 D:011,978,366,441,45,24,12,3,,,87
W:000 D:012,698,184,369,55,22,6,2,,,60
W:000 D:013,410,167,159,22,9,7,1,,,45
W:000 D:014,736,247,351,48,24,6,4,1,,55
W:000 D:015,249,116,74,14,9,9,2,,,25
W:000 D:016,205,59,93,18,12,2,0,,,21
W:000 D:017,276,108,108,11,8,4,1,1,,35
W:000 D:018,914,260,495,52,15,7,4,1,,80
W:000 D:019,567,176,283,39,12,2,3,,,52
