"",Whole Number,DEM,REP,CON,IND,REF,WRT,SCT,Blank Votes
"",,Carrie Woerner,Christopher H.,Christopher H.,Carrie Woerner,Christopher H.,Write-in,Scatter,
"",,,Boyark,Boyark,,Boyark,,,
W:000 D:001,415,185,155,20,15,1,,,39
W:000 D:002,369,187,119,14,28,0,,,21
W:000 D:003,580,302,160,26,36,2,,,54
W:000 D:004,739,299,290,44,43,1,1,,61
W:000 D:005,797,360,284,50,42,8,1,,52
W:000 D:006,713,310,269,36,44,4,,1,49
W:000 D:007,473,210,184,14,22,4,,,39
W:000 D:008,381,182,125,14,20,2,,,38
W:000 D:009,600,283,195,42,27,4,,,49
W:000 D:010,940,371,376,55,48,3,1,,86
W:000 D:011,783,401,251,41,32,2,,,56
