"",Whole Number,DEM,REP,CON,IND,REF,WRT,SCT,Blank Votes
"",,Carrie Woerner,Christopher H.,Christopher H.,Carrie Woerner,Christopher H.,Write-in,Scatter,
"",,,Boyark,Boyark,,Boyark,,,
W:000 D:001,657,293,279,28,26,2,,,29
W:000 D:002,619,299,243,28,24,3,,,22
W:000 D:003,599,304,212,29,21,0,,,33
W:000 D:004,630,304,218,24,36,0,2,,46
W:000 D:005,617,277,241,39,29,4,,,27
W:000 D:006,473,174,205,19,26,3,,,46
W:000 D:007,502,245,179,28,24,2,,,24
W:000 D:008,569,280,194,26,30,1,1,,37
W:000 D:009,711,321,262,35,27,4,4,,58
W:000 D:010,612,297,220,28,28,3,,,36
W:000 D:011,636,314,221,23,24,3,,1,50
W:000 D:012,499,245,171,28,26,1,,,28
W:000 D:013,518,221,204,28,27,0,,,38
W:000 D:014,576,294,192,34,21,1,,1,33
W:000 D:015,399,203,143,16,15,0,3,,19
