"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Shaun P. Francis,Kathleen A.,Kathleen A.,Joseph Levy,Shaun P. Francis,Kathleen A.,Kathleen A.,Write-in,Scatter,
"",,,Marchione,Marchione,,,Marchione,Marchione,,,
W:000 D:001,515,168,269,27,10,12,9,0,,,20
W:000 D:002,430,119,213,27,12,7,13,2,,,37
W:000 D:003,495,129,219,47,21,15,14,2,,,48
W:000 D:004,540,225,210,31,9,6,12,1,,,46
W:000 D:005,626,165,320,38,24,13,23,2,1,,40
W:000 D:006,482,136,238,34,15,14,19,2,,,24
W:000 D:007,432,100,238,32,13,5,14,1,,,29
W:000 D:008,448,134,208,23,18,12,20,4,,,29
