,Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
,,Shaun P. Francis,Kathleen A.,Kathleen A.,Joseph Levy,Shaun P. Francis,Kathleen A.,Kathleen A.,Write-in,Scatter,
,,,Marchione,Marchione,,,Marchione,Marchione,,,
W:000 D:001,612,148,333,38,20,10,30,2,,,31
W:000 D:002,574,169,304,37,9,10,15,2,,,28
W:000 D:003,765,220,399,56,11,10,24,1,,,44
W:000 D:004,835,240,423,62,13,17,27,7,,,46
W:000 D:005,584,177,286,40,2,15,23,0,,,41
W:000 D:006,590,161,304,33,15,9,25,4,1,,38
W:000 D:007,694,209,365,41,9,13,20,1,,,36
W:000 D:008,596,165,320,40,10,14,11,3,,1,32
W:000 D:009,909,283,437,53,18,16,26,4,,,72
W:000 D:010,489,199,191,18,13,13,16,1,,,38
W:000 D:011,978,367,437,48,21,21,22,5,,,57
W:000 D:012,698,177,392,53,7,14,19,1,,,35
W:000 D:013,410,151,173,24,11,8,13,0,,,30
W:000 D:014,736,233,367,52,11,9,25,2,,,37
W:000 D:015,249,96,88,12,9,13,8,1,,,22
W:000 D:016,205,45,115,17,3,4,9,1,,,11
W:000 D:017,276,105,119,13,6,0,8,1,,,24
W:000 D:018,914,240,542,49,11,7,22,6,1,,36
W:000 D:019,567,166,311,34,7,4,12,1,,,32
