"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Shaun P. Francis,Kathleen A.,Kathleen A.,Joseph Levy,Shaun P. Francis,Kathleen A.,Kathleen A.,Write-in,Scatter,
"",,,Marchione,Marchione,,,Marchione,Marchione,,,
W:000 D:001,415,99,226,16,16,8,8,0,,,42
W:000 D:002,369,104,192,13,13,3,18,2,,,24
W:000 D:003,580,156,257,34,33,13,29,2,,,56
W:000 D:004,739,163,400,49,33,11,22,1,,,60
W:000 D:005,797,206,406,59,24,21,30,2,1,,48
W:000 D:006,713,163,382,36,33,13,35,2,,1,48
W:000 D:007,473,97,266,20,20,5,20,1,,,44
W:000 D:008,381,101,201,15,12,7,10,3,,,32
W:000 D:009,600,174,275,52,21,9,22,3,,,44
W:000 D:010,940,199,534,56,21,17,31,3,,,79
W:000 D:011,783,235,375,41,19,18,32,0,1,,62
