"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Shaun P. Francis,Kathleen A.,Kathleen A.,Joseph Levy,Shaun P. Francis,Kathleen A.,Kathleen A.,Write-in,Scatter,
"",,,Marchione,Marchione,,,Marchione,Marchione,,,
W:000 D:001,447,81,256,39,12,11,14,1,,,33
W:000 D:002,310,58,175,24,9,8,18,0,,,18
W:000 D:003,651,138,359,60,12,13,21,3,,,45
W:000 D:004,401,89,215,38,13,9,12,2,,,23
W:000 D:005,1129,251,648,72,12,25,39,7,,,75
W:000 D:006,152,19,105,12,2,1,7,0,,,6
W:000 D:007,643,139,359,57,9,9,24,2,1,,43
W:000 D:008,622,147,348,42,10,6,20,2,,,47
