"",Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
"",,Shaun P. Francis,Kathleen A.,Kathleen A.,Joseph Levy,Shaun P. Francis,Kathleen A.,Kathleen A.,Write-in,Scatter,
"",,,Marchione,Marchione,,,Marchione,Marchione,,,
W:000 D:001,372,117,150,29,15,14,19,1,,,27
W:000 D:002,370,113,169,21,9,7,16,2,,,33
W:000 D:003,449,122,220,27,7,14,19,3,1,,36
W:000 D:004,334,98,135,26,11,8,21,2,,,33
W:000 D:005,469,127,218,37,10,14,19,1,,,43
W:000 D:006,718,189,370,50,15,7,31,1,,,55
W:000 D:007,460,131,254,24,2,9,13,2,,,25
W:000 D:008,792,259,392,51,21,14,17,1,,,37
