,Whole Number,DEM,REP,CON,GRE,WOR,IND,REF,WRT,SCT,Blank Votes
,,Shaun P. Francis,Kathleen A.,Kathleen A.,Joseph Levy,Shaun P. Francis,Kathleen A.,Kathleen A.,Write-in,Scatter,
,,,Marchione,Marchione,,,Marchione,Marchione,,,
W:000 D:001,657,189,342,34,15,16,21,3,,,37
W:000 D:002,619,192,325,29,9,9,23,1,,,31
W:000 D:003,599,225,274,30,12,12,13,1,,,32
W:000 D:004,630,221,289,27,9,16,19,0,1,,48
W:000 D:005,617,175,329,45,18,8,20,1,,,21
W:000 D:006,473,101,267,23,9,12,14,1,,,46
W:000 D:007,502,167,244,30,9,17,12,1,,,22
W:000 D:008,569,188,259,25,18,15,24,2,,,38
W:000 D:009,711,211,359,43,17,14,17,0,1,,49
W:000 D:010,612,216,294,29,8,10,19,2,,,34
W:000 D:011,636,197,313,38,13,13,18,2,,,42
W:000 D:012,499,173,227,29,10,13,17,0,,,30
W:000 D:013,518,146,252,37,8,15,22,0,,,38
W:000 D:014,576,214,244,32,21,11,18,2,,,34
W:000 D:015,399,140,197,17,4,6,9,1,1,,24
