"",Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
"",,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
W:000 D:001,507,139,277,29,12,19,2,1,,,28
W:000 D:002,649,149,381,47,15,18,7,2,,,30
W:000 D:003,873,186,560,68,7,17,5,4,,,26
W:000 D:004,806,175,483,2,57,11,6,4,,,68
W:000 D:005,480,110,279,34,10,14,5,1,,,27
W:000 D:006,1033,223,625,79,8,44,9,3,,,42
W:000 D:007,447,85,274,39,3,19,3,3,,,21
W:000 D:008,591,115,367,44,4,21,5,2,,,33
W:000 D:009,442,72,284,44,5,18,3,3,,,13
