,Whole Number,DEM,REP,CON,WOR,IND,WEP,REF,WRT,SCT,Blank Votes
,,Chad Putman,James N. Tedisco,James N. Tedisco,Chad Putman,James N. Tedisco,Chad Putman,James N. Tedisco,Write-in,Scatter,
W:000 D:001,657,150,365,67,9,26,5,4,,,31
W:000 D:002,600,120,332,76,13,27,4,1,,,27
W:000 D:003,456,131,243,37,6,13,2,2,1,,21
W:000 D:004,876,245,487,65,7,23,4,3,1,,41
W:000 D:005,282,67,161,30,4,12,1,1,,,6
W:000 D:006,700,187,368,58,7,31,5,1,,,43
W:000 D:007,355,106,199,19,7,11,1,1,,,11
W:000 D:008,699,247,334,42,11,19,7,3,,,36
W:000 D:009,276,115,102,15,9,8,1,1,,,25
W:000 D:010,714,199,407,39,10,19,2,4,,,34
W:000 D:011,602,149,353,48,4,21,3,1,,,23
W:000 D:012,783,205,455,58,8,22,4,3,,,28
W:000 D:013,601,157,345,35,3,31,2,3,,,25
W:000 D:014,700,173,381,63,15,22,2,4,1,,39
W:000 D:015,819,187,489,58,8,23,6,4,2,,42
W:000 D:016,620,183,320,44,11,30,5,3,,,24
W:000 D:017,455,124,250,26,5,20,4,2,,,24
W:000 D:018,673,231,315,50,10,29,4,2,,,32
W:000 D:019,702,212,329,63,7,38,4,5,,,44
W:000 D:020,644,173,362,46,4,23,4,1,,,31
W:000 D:021,730,252,347,45,9,19,6,3,,,49
W:000 D:022,698,206,345,57,10,20,6,2,,1,51
W:000 D:023,626,156,344,62,10,21,5,4,,,24
W:000 D:024,652,187,358,39,11,26,3,4,,,24
W:000 D:025,733,207,402,50,13,19,6,3,,,33
W:000 D:026,537,132,308,42,8,18,3,3,,,23
W:000 D:027,614,137,349,60,13,18,4,3,,,30
W:000 D:028,450,115,263,28,3,15,3,2,1,,20
W:000 D:029,742,205,421,48,6,20,4,3,,,35
W:000 D:030,378,103,208,23,6,10,8,1,,,19
W:000 D:031,798,236,424,49,7,34,6,4,,,38
W:000 D:032,539,162,290,36,3,21,3,1,,,23
W:000 D:033,664,176,368,48,11,24,6,4,,,27
W:000 D:034,942,235,544,69,3,32,10,4,,,45
